SequenceSessionId	Tag	VisitId	Start	End	Address	Output	PackageName
0	98102108982	0	2016-05-09 18:22:22.01	2016-05-09 18:22:23.01	1	3	Wrong Time
1	98102108982	0	2016-05-09 18:22:23.32	2016-05-09 18:22:24.32	1	3	Wrong Time
2	98102056406	1	2016-05-09 18:22:36.03	2016-05-09 18:22:37.04	1	3	Wrong Time
3	98102254571	2	2016-05-09 18:23:08.87	2016-05-09 18:23:09.87	1	3	Wrong Time
4	98102108473	3	2016-05-09 18:23:16.75	2016-05-09 18:23:17.75	1	3	Wrong Time
5	98102108473	3	2016-05-09 18:23:23.45	2016-05-09 18:23:24.45	1	3	Wrong Time
6	98102056406	5	2016-05-09 18:28:52.04	2016-05-09 18:28:53.04	1	3	Wrong Time
7	98102108806	9	2016-05-09 18:32:07.34	2016-05-09 18:32:08.34	1	3	Wrong Time
8	98102056406	10	2016-05-09 18:35:37.18	2016-05-09 18:35:37.53	1	3	Wrong Time
9	98102056406	10	2016-05-09 18:35:37.53	2016-05-09 18:35:38.53	1	3	Wrong Time
10	98102108982	12	2016-05-09 18:44:13.50	2016-05-09 18:44:14.50	1	3	Wrong Time
11	98102108982	12	2016-05-09 18:44:15.92	2016-05-09 18:44:16.92	1	3	Wrong Time
12	98102254571	13	2016-05-09 19:06:14.54	2016-05-09 19:06:18.04	1	3	scrambled bjork
13	98102056406	19	2016-05-09 19:15:15.81	2016-05-09 19:15:19.31	1	3	scrambled bjork
14	98102109088	21	2016-05-09 19:19:33.98	2016-05-09 19:19:37.48	1	3	scrambled bjork
15	98102108806	22	2016-05-09 19:40:34.03	2016-05-09 19:40:37.53	1	3	scrambled bjork
16	98102108473	25	2016-05-09 19:49:06.90	2016-05-09 19:49:07.90	1	3	scrambled bjork
17	98102108473	26	2016-05-09 19:49:21.23	2016-05-09 19:49:24.75	1	3	scrambled bjork
18	98102108473	31	2016-05-09 19:52:13.43	2016-05-09 19:52:14.43	1	3	scrambled bjork
19	98102109088	36	2016-05-09 19:54:02.76	2016-05-09 19:54:06.28	1	3	scrambled bjork
20	98102109088	37	2016-05-09 19:54:06.28	2016-05-09 19:54:07.28	1	3	scrambled bjork
21	98102108473	41	2016-05-09 19:57:54.31	2016-05-09 19:57:55.31	1	3	scrambled bjork
22	98102108473	42	2016-05-09 19:58:11.96	2016-05-09 19:58:12.98	1	3	scrambled bjork
23	98102108473	43	2016-05-09 19:58:30.40	2016-05-09 19:58:33.90	1	3	scrambled bjork
24	98102108473	44	2016-05-09 19:58:49.85	2016-05-09 19:58:53.35	1	3	scrambled bjork
25	98102108982	45	2016-05-09 19:59:17.18	2016-05-09 19:59:20.68	1	3	scrambled bjork
26	98102056406	48	2016-05-09 19:59:57.81	2016-05-09 20:00:01.31	1	3	scrambled bjork
27	98102254571	49	2016-05-09 20:00:07.46	2016-05-09 20:00:08.46	1	3	scrambled bjork
28	98102056406	51	2016-05-09 20:00:52.79	2016-05-09 20:00:56.29	1	3	scrambled bjork
29	98102109088	52	2016-05-09 20:01:04.57	2016-05-09 20:01:05.57	1	3	scrambled bjork
30	98102056406	53	2016-05-09 20:01:12.78	2016-05-09 20:01:16.28	1	3	scrambled bjork
31	98102109088	54	2016-05-09 20:01:23.59	2016-05-09 20:01:27.09	1	3	scrambled bjork
32	98102056406	55	2016-05-09 20:01:32.48	2016-05-09 20:01:33.48	1	3	scrambled bjork
33	98102056406	56	2016-05-09 20:01:54.65	2016-05-09 20:01:55.65	1	3	scrambled bjork
34	98102056406	57	2016-05-09 20:02:13.59	2016-05-09 20:02:17.09	1	3	scrambled bjork
35	98102109088	58	2016-05-09 20:02:27.59	2016-05-09 20:02:31.09	1	3	scrambled bjork
36	98102056406	59	2016-05-09 20:02:37.12	2016-05-09 20:02:38.12	1	3	scrambled bjork
37	98102109088	61	2016-05-09 20:04:11.54	2016-05-09 20:04:15.04	1	3	scrambled bjork
38	98102108806	62	2016-05-09 20:05:25.31	2016-05-09 20:05:28.81	1	3	scrambled bjork
39	98102109088	64	2016-05-09 20:06:06.26	2016-05-09 20:06:09.76	1	3	scrambled bjork
40	98102056406	66	2016-05-09 20:07:16.17	2016-05-09 20:07:19.67	1	3	scrambled bjork
41	98102056406	67	2016-05-09 20:07:32.50	2016-05-09 20:07:36.00	1	3	scrambled bjork
42	98102056406	69	2016-05-09 20:08:15.23	2016-05-09 20:08:18.73	1	3	scrambled bjork
43	98102056406	71	2016-05-09 20:08:54.42	2016-05-09 20:08:57.92	1	3	scrambled bjork
44	98102108473	74	2016-05-09 20:09:57.50	2016-05-09 20:10:01.00	1	3	scrambled bjork
45	98102108806	75	2016-05-09 20:10:58.04	2016-05-09 20:11:01.54	1	3	scrambled bjork
46	98102109088	78	2016-05-09 20:15:41.57	2016-05-09 20:15:45.07	1	3	scrambled bjork
47	98102109088	80	2016-05-09 20:16:40.01	2016-05-09 20:16:43.51	1	3	scrambled bjork
48	98102109088	81	2016-05-09 20:17:05.78	2016-05-09 20:17:09.28	1	3	scrambled bjork
49	98102254571	82	2016-05-09 20:17:55.89	2016-05-09 20:17:59.39	1	3	scrambled bjork
50	98102056406	83	2016-05-09 20:19:11.92	2016-05-09 20:19:15.42	1	3	scrambled bjork
51	98102056406	84	2016-05-09 20:19:23.23	2016-05-09 20:19:26.73	1	3	scrambled bjork
