DateTime	HardwareType	Cage	Corner	Side	State
2016-05-16 14:46:15.84	1	1	2	3	1
2016-05-16 14:46:15.87	1	1	2	4	1
2016-05-16 14:46:15.89	0	1	1		0
2016-05-16 14:46:15.89	0	1	2		0
2016-05-16 14:46:15.89	0	1	3		0
2016-05-16 14:46:15.90	0	1	4		0
2016-05-16 14:46:15.93	1	1	1	1	1
2016-05-16 14:46:15.95	2	1	1	1	0
2016-05-16 14:46:15.96	1	1	1	2	1
2016-05-16 14:46:15.98	2	1	1	2	0
2016-05-16 14:46:16.01	1	1	2	3	1
2016-05-16 14:46:16.04	2	1	2	3	0
2016-05-16 14:46:16.06	1	1	2	4	1
2016-05-16 14:46:16.09	2	1	2	4	0
2016-05-16 14:46:16.10	1	1	3	5	0
2016-05-16 14:46:16.12	2	1	3	5	0
2016-05-16 14:46:16.15	1	1	3	6	0
2016-05-16 14:46:16.17	2	1	3	6	0
2016-05-16 14:46:16.20	1	1	4	7	1
2016-05-16 14:46:16.21	2	1	4	7	0
2016-05-16 14:46:16.25	1	1	4	8	1
2016-05-16 14:46:16.26	2	1	4	8	0
2016-05-16 19:07:02.67	2	1	3	5	96
2016-05-16 19:07:02.93	1	1	3	5	0
2016-05-16 19:07:03.34	1	1	3	5	1
2016-05-16 19:07:03.57	2	1	3	5	0
2016-05-16 19:07:05.92	1	1	3	5	1
2016-05-16 19:07:07.29	1	1	3	5	0
2016-05-16 19:07:21.09	1	1	3	5	0
2016-05-16 19:07:21.10	1	1	3	6	0
2016-05-16 19:07:21.10	2	1	3	5	0
2016-05-16 19:07:21.14	2	1	3	6	0
2016-05-16 19:13:10.48	2	1	3	5	96
2016-05-16 19:13:11.01	1	1	3	5	0
2016-05-16 19:13:11.40	2	1	3	5	0
2016-05-16 19:13:12.39	1	1	3	5	1
2016-05-16 19:13:14.01	1	1	3	5	1
2016-05-16 19:13:17.50	1	1	3	5	0
2016-05-16 19:13:22.37	1	1	3	5	0
2016-05-16 19:13:22.39	1	1	3	6	0
2016-05-16 19:13:22.39	2	1	3	5	0
2016-05-16 19:13:22.42	2	1	3	6	0
2016-05-16 19:19:36.26	2	1	3	5	96
2016-05-16 19:19:36.46	1	1	3	5	0
2016-05-16 19:19:37.06	1	1	3	5	1
2016-05-16 19:19:37.17	2	1	3	5	0
2016-05-16 19:19:39.46	1	1	3	5	1
2016-05-16 19:19:40.84	1	1	3	5	0
2016-05-16 19:19:50.32	1	1	3	5	0
2016-05-16 19:19:50.34	1	1	3	6	0
2016-05-16 19:19:50.35	2	1	3	5	0
2016-05-16 19:19:50.37	2	1	3	6	0
2016-05-16 19:21:29.23	2	1	3	5	96
2016-05-16 19:21:29.51	1	1	3	5	0
2016-05-16 19:21:30.14	2	1	3	5	0
2016-05-16 19:21:30.43	1	1	3	5	1
2016-05-16 19:21:32.51	1	1	3	5	1
2016-05-16 19:21:33.90	1	1	3	5	0
2016-05-16 19:21:46.93	1	1	3	5	0
2016-05-16 19:21:46.95	1	1	3	6	0
2016-05-16 19:21:46.96	2	1	3	5	0
2016-05-16 19:21:46.98	2	1	3	6	0
2016-05-16 19:21:49.89	2	1	3	5	96
2016-05-16 19:21:50.20	1	1	3	5	0
2016-05-16 19:21:50.79	2	1	3	5	0
2016-05-16 19:21:51.43	1	1	3	5	1
2016-05-16 19:21:53.18	1	1	3	5	1
2016-05-16 19:21:56.71	1	1	3	5	0
2016-05-16 19:22:02.40	1	1	3	5	0
2016-05-16 19:22:02.42	1	1	3	6	0
2016-05-16 19:22:02.42	2	1	3	5	0
2016-05-16 19:22:02.45	2	1	3	6	0
2016-05-16 19:22:37.96	2	1	3	5	96
2016-05-16 19:22:38.37	1	1	3	5	0
2016-05-16 19:22:38.85	2	1	3	5	0
2016-05-16 19:22:39.71	1	1	3	5	1
2016-05-16 19:22:41.37	1	1	3	5	1
2016-05-16 19:22:42.73	1	1	3	5	0
2016-05-16 19:23:00.39	1	1	3	5	0
2016-05-16 19:23:00.40	1	1	3	6	0
2016-05-16 19:23:00.40	2	1	3	5	0
2016-05-16 19:23:00.43	2	1	3	6	0
2016-05-16 19:23:04.73	2	1	3	5	96
2016-05-16 19:23:05.26	1	1	3	5	0
2016-05-16 19:23:05.62	2	1	3	5	0
2016-05-16 19:23:06.64	1	1	3	5	1
2016-05-16 19:23:08.25	1	1	3	5	1
2016-05-16 19:23:11.75	1	1	3	5	0
2016-05-16 19:23:23.01	1	1	3	5	0
2016-05-16 19:23:23.03	1	1	3	6	0
2016-05-16 19:23:23.03	2	1	3	5	0
2016-05-16 19:23:23.06	2	1	3	6	0
2016-05-16 19:40:09.21	2	1	3	5	96
2016-05-16 19:40:09.46	1	1	3	5	0
2016-05-16 19:40:10.12	2	1	3	5	0
2016-05-16 19:40:10.85	1	1	3	5	1
2016-05-16 19:40:12.46	1	1	3	5	1
2016-05-16 19:40:13.85	1	1	3	5	0
2016-05-16 19:40:21.57	1	1	3	5	0
2016-05-16 19:40:21.59	1	1	3	6	0
2016-05-16 19:40:21.59	2	1	3	5	0
2016-05-16 19:40:21.62	2	1	3	6	0
2016-05-16 19:40:26.60	2	1	3	5	96
2016-05-16 19:40:26.84	1	1	3	5	0
2016-05-16 19:40:27.51	2	1	3	5	0
2016-05-16 19:40:28.21	1	1	3	5	1
2016-05-16 19:40:29.82	1	1	3	5	1
2016-05-16 19:40:33.34	1	1	3	5	0
2016-05-16 19:40:40.95	1	1	3	5	0
2016-05-16 19:40:40.96	1	1	3	6	0
2016-05-16 19:40:40.98	2	1	3	5	0
2016-05-16 19:40:41.00	2	1	3	6	0
2016-05-16 19:43:46.14	1	1	3	5	0
2016-05-16 19:43:46.15	1	1	3	6	0
2016-05-16 19:43:46.17	2	1	3	5	0
2016-05-16 19:43:46.18	2	1	3	6	0
2016-05-16 19:43:59.60	1	1	3	5	0
2016-05-16 19:43:59.62	1	1	3	6	0
2016-05-16 19:43:59.62	2	1	3	5	0
2016-05-16 19:43:59.65	2	1	3	6	0
2016-05-16 19:45:09.21	2	1	3	5	96
2016-05-16 19:45:09.65	1	1	3	5	0
2016-05-16 19:45:10.12	2	1	3	5	0
2016-05-16 19:45:11.04	1	1	3	5	1
2016-05-16 19:45:12.65	1	1	3	5	1
2016-05-16 19:45:14.03	1	1	3	5	0
2016-05-16 19:45:21.12	1	1	3	5	0
2016-05-16 19:45:21.14	1	1	3	6	0
2016-05-16 19:45:21.15	2	1	3	5	0
2016-05-16 19:45:21.17	2	1	3	6	0
2016-05-16 19:49:07.51	1	1	3	5	0
2016-05-16 19:49:07.53	1	1	3	6	0
2016-05-16 19:49:07.54	2	1	3	5	0
2016-05-16 19:49:07.56	2	1	3	6	0
2016-05-16 19:51:16.32	2	1	3	5	96
2016-05-16 19:51:16.64	1	1	3	5	0
2016-05-16 19:51:17.09	1	1	3	5	1
2016-05-16 19:51:17.20	2	1	3	5	0
2016-05-16 19:51:19.62	1	1	3	5	1
2016-05-16 19:51:23.15	1	1	3	5	0
2016-05-16 19:51:36.42	1	1	3	5	0
2016-05-16 19:51:36.43	1	1	3	6	0
2016-05-16 19:51:36.45	2	1	3	5	0
2016-05-16 19:51:36.46	2	1	3	6	0
2016-05-16 19:51:41.01	2	1	3	5	96
2016-05-16 19:51:41.45	1	1	3	5	0
2016-05-16 19:51:41.92	2	1	3	5	0
2016-05-16 19:51:42.29	1	1	3	5	1
2016-05-16 19:51:44.45	1	1	3	5	1
2016-05-16 19:51:45.85	1	1	3	5	0
2016-05-16 19:51:55.03	1	1	3	5	0
2016-05-16 19:51:55.04	1	1	3	6	0
2016-05-16 19:51:55.06	2	1	3	5	0
2016-05-16 19:51:55.07	2	1	3	6	0
2016-05-16 19:52:01.25	2	1	3	5	96
2016-05-16 19:52:01.56	1	1	3	5	0
2016-05-16 19:52:02.15	2	1	3	5	0
2016-05-16 19:52:02.93	1	1	3	5	1
2016-05-16 19:52:04.56	1	1	3	5	1
2016-05-16 19:52:08.07	1	1	3	5	0
2016-05-16 19:52:11.06	1	1	3	5	0
2016-05-16 19:52:11.07	1	1	3	6	0
2016-05-16 19:52:11.09	2	1	3	5	0
2016-05-16 19:52:11.10	2	1	3	6	0
2016-05-16 19:52:19.45	1	1	3	5	0
2016-05-16 19:52:19.45	1	1	3	6	0
2016-05-16 19:52:19.45	2	1	3	5	0
2016-05-16 19:52:19.45	2	1	3	6	0
2016-05-16 19:52:20.87	2	1	3	5	96
2016-05-16 19:52:21.10	1	1	3	5	0
2016-05-16 19:52:21.76	2	1	3	5	0
2016-05-16 19:52:22.18	1	1	3	5	1
2016-05-16 19:52:24.10	1	1	3	5	1
2016-05-16 19:52:25.48	1	1	3	5	0
2016-05-16 19:52:36.62	1	1	3	5	0
2016-05-16 19:52:36.62	1	1	3	6	0
2016-05-16 19:52:36.62	2	1	3	5	0
2016-05-16 19:52:36.62	2	1	3	6	0
2016-05-16 19:52:40.06	2	1	3	5	96
2016-05-16 19:52:40.43	1	1	3	5	0
2016-05-16 19:52:40.96	2	1	3	5	0
2016-05-16 19:52:41.07	1	1	3	5	1
2016-05-16 19:52:43.43	1	1	3	5	1
2016-05-16 19:52:44.81	1	1	3	5	0
2016-05-16 19:52:59.54	1	1	3	5	0
2016-05-16 19:52:59.56	1	1	3	6	0
2016-05-16 19:52:59.57	2	1	3	5	0
2016-05-16 19:52:59.59	2	1	3	6	0
2016-05-16 19:54:20.28	1	1	3	5	0
2016-05-16 19:54:20.29	1	1	3	6	0
2016-05-16 19:54:20.31	2	1	3	5	0
2016-05-16 19:54:20.32	2	1	3	6	0
2016-05-16 19:58:55.40	2	1	3	5	96
2016-05-16 19:58:55.79	1	1	3	5	0
2016-05-16 19:58:56.31	2	1	3	5	0
2016-05-16 19:58:56.89	1	1	3	5	1
2016-05-16 19:58:58.79	1	1	3	5	1
2016-05-16 19:59:00.17	1	1	3	5	0
2016-05-16 19:59:03.67	1	1	3	5	0
2016-05-16 19:59:03.68	1	1	3	6	0
2016-05-16 19:59:03.70	2	1	3	5	0
2016-05-16 19:59:03.71	2	1	3	6	0
2016-05-16 19:59:07.35	2	1	3	5	96
2016-05-16 19:59:07.78	1	1	3	5	0
2016-05-16 19:59:08.26	2	1	3	5	0
2016-05-16 19:59:09.15	1	1	3	5	1
2016-05-16 19:59:10.78	1	1	3	5	1
2016-05-16 19:59:14.28	1	1	3	5	0
2016-05-16 19:59:27.06	1	1	3	5	0
2016-05-16 19:59:27.07	1	1	3	6	0
2016-05-16 19:59:27.09	2	1	3	5	0
2016-05-16 19:59:27.10	2	1	3	6	0
2016-05-16 19:59:28.81	2	1	3	5	96
2016-05-16 19:59:29.25	1	1	3	5	0
2016-05-16 19:59:29.71	2	1	3	5	0
2016-05-16 19:59:30.48	1	1	3	5	1
2016-05-16 19:59:32.23	1	1	3	5	1
2016-05-16 19:59:35.75	1	1	3	5	0
2016-05-16 20:00:00.45	1	1	3	5	0
2016-05-16 20:00:00.46	1	1	3	6	0
2016-05-16 20:00:00.48	2	1	3	5	0
2016-05-16 20:00:00.50	2	1	3	6	0
2016-05-16 20:00:02.92	2	1	3	5	96
2016-05-16 20:00:03.18	1	1	3	5	0
2016-05-16 20:00:03.81	2	1	3	5	0
2016-05-16 20:00:04.07	1	1	3	5	1
2016-05-16 20:00:06.18	1	1	3	5	1
2016-05-16 20:00:09.67	1	1	3	5	0
2016-05-16 20:00:35.82	1	1	3	5	0
2016-05-16 20:00:35.84	1	1	3	6	0
2016-05-16 20:00:35.85	2	1	3	5	0
2016-05-16 20:00:35.87	2	1	3	6	0
2016-05-16 20:00:40.20	2	1	3	5	96
2016-05-16 20:00:40.45	1	1	3	5	0
2016-05-16 20:00:41.10	2	1	3	5	0
2016-05-16 20:00:41.82	1	1	3	5	1
2016-05-16 20:00:43.45	1	1	3	5	1
2016-05-16 20:00:46.93	1	1	3	5	0
2016-05-16 20:00:50.43	1	1	3	5	0
2016-05-16 20:00:50.45	1	1	3	6	0
2016-05-16 20:00:50.45	2	1	3	5	0
2016-05-16 20:00:50.48	2	1	3	6	0
2016-05-16 20:00:53.18	2	1	3	5	96
2016-05-16 20:00:53.68	1	1	3	5	0
2016-05-16 20:00:54.10	2	1	3	5	0
2016-05-16 20:00:54.46	1	1	3	5	1
2016-05-16 20:00:56.68	1	1	3	5	1
2016-05-16 20:01:00.18	1	1	3	5	0
2016-05-16 20:01:04.32	1	1	3	5	0
2016-05-16 20:01:04.34	1	1	3	6	0
2016-05-16 20:01:04.35	2	1	3	5	0
2016-05-16 20:01:04.37	2	1	3	6	0
2016-05-16 20:01:06.56	2	1	3	5	96
2016-05-16 20:01:07.46	2	1	3	5	0
2016-05-16 20:01:10.82	1	1	3	5	0
2016-05-16 20:01:10.84	1	1	3	6	0
2016-05-16 20:01:10.85	2	1	3	5	0
2016-05-16 20:01:10.87	2	1	3	6	0
2016-05-16 20:01:13.48	2	1	3	5	96
2016-05-16 20:01:13.92	1	1	3	5	0
2016-05-16 20:01:14.39	2	1	3	5	0
2016-05-16 20:01:15.29	1	1	3	5	1
2016-05-16 20:01:16.92	1	1	3	5	1
2016-05-16 20:01:20.40	1	1	3	5	0
2016-05-16 20:01:40.93	1	1	3	5	0
2016-05-16 20:01:40.95	1	1	3	6	0
2016-05-16 20:01:40.96	2	1	3	5	0
2016-05-16 20:01:40.98	2	1	3	6	0
2016-05-16 20:01:49.43	1	1	3	5	0
2016-05-16 20:01:49.45	1	1	3	6	0
2016-05-16 20:01:49.46	2	1	3	5	0
2016-05-16 20:01:49.48	2	1	3	6	0
2016-05-16 20:01:54.84	2	1	3	5	96
2016-05-16 20:01:54.98	1	1	3	5	0
2016-05-16 20:01:55.34	1	1	3	5	1
2016-05-16 20:01:55.73	2	1	3	5	0
2016-05-16 20:01:57.98	1	1	3	5	1
2016-05-16 20:01:59.54	1	1	3	5	0
2016-05-16 20:02:10.67	1	1	3	5	0
2016-05-16 20:02:10.68	1	1	3	6	0
2016-05-16 20:02:10.70	2	1	3	5	0
2016-05-16 20:02:10.71	2	1	3	6	0
2016-05-16 20:02:12.40	2	1	3	5	96
2016-05-16 20:02:12.65	1	1	3	5	0
2016-05-16 20:02:13.31	2	1	3	5	0
2016-05-16 20:02:14.03	1	1	3	5	1
2016-05-16 20:02:15.65	1	1	3	5	1
2016-05-16 20:02:17.03	1	1	3	5	0
2016-05-16 20:02:22.90	1	1	3	5	0
2016-05-16 20:02:22.92	1	1	3	6	0
2016-05-16 20:02:22.92	2	1	3	5	0
2016-05-16 20:02:22.95	2	1	3	6	0
2016-05-16 20:02:30.59	2	1	3	5	96
2016-05-16 20:02:30.79	1	1	3	5	0
2016-05-16 20:02:31.04	1	1	3	5	1
2016-05-16 20:02:31.50	2	1	3	5	0
2016-05-16 20:02:33.78	1	1	3	5	1
2016-05-16 20:02:35.18	1	1	3	5	0
2016-05-16 20:02:51.67	1	1	3	5	0
2016-05-16 20:02:51.68	1	1	3	6	0
2016-05-16 20:02:51.68	2	1	3	5	0
2016-05-16 20:02:51.71	2	1	3	6	0
2016-05-16 20:03:01.09	2	1	3	5	96
2016-05-16 20:03:01.37	1	1	3	5	0
2016-05-16 20:03:01.98	2	1	3	5	0
2016-05-16 20:03:02.53	1	1	3	5	1
2016-05-16 20:03:04.37	1	1	3	5	1
