DateTime	Temperature	Illumination	Cage
2016-05-15 17:44:41	21.6	0	1
2016-05-15 17:45:40	21.6	0	1
2016-05-15 17:46:40	21.6	0	1
2016-05-15 17:47:40	21.6	0	1
2016-05-15 17:48:40	21.6	0	1
2016-05-15 17:49:40	21.6	0	1
2016-05-15 17:50:40	21.6	0	1
2016-05-15 17:51:40	21.6	0	1
2016-05-15 17:52:40	21.6	0	1
2016-05-15 17:53:40	21.6	0	1
2016-05-15 17:54:40	21.6	0	1
2016-05-15 17:55:40	21.6	0	1
2016-05-15 17:56:40	21.6	0	1
2016-05-15 17:57:40	22	0	1
2016-05-15 17:58:40	21.6	0	1
2016-05-15 17:59:40	22	0	1
2016-05-15 18:00:40	22	0	1
2016-05-15 18:01:40	22	0	1
2016-05-15 18:02:40	22	0	1
2016-05-15 18:03:40	22	0	1
2016-05-15 18:04:40	22	0	1
2016-05-15 18:05:40	22	0	1
2016-05-15 18:06:40	22	0	1
2016-05-15 18:07:40	22	0	1
2016-05-15 18:08:40	22	0	1
2016-05-15 18:09:40	22	0	1
2016-05-15 18:10:40	22	0	1
2016-05-15 18:11:40	22	0	1
2016-05-15 18:12:40	22	0	1
2016-05-15 18:13:40	22	0	1
2016-05-15 18:14:40	22	0	1
2016-05-15 18:15:40	22	0	1
2016-05-15 18:16:40	22	0	1
2016-05-15 18:17:40	22	0	1
2016-05-15 18:18:40	22	0	1
2016-05-15 18:19:40	22	0	1
2016-05-15 18:20:40	22	0	1
2016-05-15 18:21:40	22	0	1
2016-05-15 18:22:40	22	0	1
2016-05-15 18:23:40	22	0	1
2016-05-15 18:24:40	22	0	1
2016-05-15 18:25:40	22	0	1
2016-05-15 18:26:40	22	0	1
2016-05-15 18:27:40	22	0	1
2016-05-15 18:28:40	22	0	1
2016-05-15 18:29:40	22	0	1
2016-05-15 18:30:40	22	0	1
2016-05-15 18:31:40	22	0	1
2016-05-15 18:32:40	22	0	1
2016-05-15 18:33:40	22	0	1
2016-05-15 18:34:40	22	0	1
2016-05-15 18:35:40	22	0	1
2016-05-15 18:36:40	22	0	1
2016-05-15 18:37:40	22	0	1
2016-05-15 18:38:40	22	0	1
2016-05-15 18:39:40	22	0	1
2016-05-15 18:40:40	22	0	1
2016-05-15 18:41:40	22	0	1
2016-05-15 18:42:40	22	0	1
2016-05-15 18:43:40	22	0	1
2016-05-15 18:44:40	22	0	1
2016-05-15 18:45:40	22	0	1
2016-05-15 18:46:40	22	0	1
2016-05-15 18:47:40	22	0	1
2016-05-15 18:48:40	22	0	1
2016-05-15 18:49:40	22	0	1
2016-05-15 18:50:40	22	0	1
2016-05-15 18:51:40	22	0	1
2016-05-15 18:52:40	22	0	1
2016-05-15 18:53:40	22	0	1
2016-05-15 18:54:40	22	0	1
2016-05-15 18:55:40	22	0	1
2016-05-15 18:56:40	22	0	1
2016-05-15 18:57:40	22	0	1
2016-05-15 18:58:40	22	0	1
2016-05-15 18:59:40	22	0	1
2016-05-15 19:00:40	22	0	1
2016-05-15 19:01:40	22	0	1
2016-05-15 19:02:40	22	0	1
2016-05-15 19:03:40	22	0	1
2016-05-15 19:04:40	22	0	1
2016-05-15 19:05:40	22	0	1
2016-05-15 19:06:40	22	0	1
2016-05-15 19:07:40	22	0	1
2016-05-15 19:08:40	22	0	1
2016-05-15 19:09:40	22	0	1
2016-05-15 19:10:40	22	0	1
2016-05-15 19:11:40	22	0	1
2016-05-15 19:12:40	22	0	1
2016-05-15 19:13:40	22	0	1
2016-05-15 19:14:40	22	0	1
2016-05-15 19:15:40	22	0	1
2016-05-15 19:16:40	22	0	1
2016-05-15 19:17:40	22	0	1
2016-05-15 19:18:40	22	0	1
2016-05-15 19:19:40	22	0	1
2016-05-15 19:20:40	22	0	1
2016-05-15 19:21:40	22	0	1
2016-05-15 19:22:40	22	0	1
2016-05-15 19:23:40	22	0	1
2016-05-15 19:24:40	22	0	1
2016-05-15 19:25:40	22	0	1
2016-05-15 19:26:40	22	0	1
2016-05-15 19:27:40	22	0	1
2016-05-15 19:28:40	22	0	1
2016-05-15 19:29:40	22	0	1
2016-05-15 19:30:40	22	0	1
2016-05-15 19:31:40	22	0	1
2016-05-15 19:32:40	22	0	1
2016-05-15 19:33:40	22	0	1
2016-05-15 19:34:40	22	0	1
2016-05-15 19:35:40	22	0	1
2016-05-15 19:36:40	22	0	1
2016-05-15 19:37:40	22	0	1
2016-05-15 19:38:40	22	0	1
2016-05-15 19:39:40	22	0	1
2016-05-15 19:40:40	22	0	1
2016-05-15 19:41:40	22	0	1
2016-05-15 19:42:40	22	0	1
2016-05-15 19:43:40	22	0	1
2016-05-15 19:44:40	22	0	1
2016-05-15 19:45:40	22	0	1
2016-05-15 19:46:40	22	0	1
2016-05-15 19:47:40	22	0	1
2016-05-15 19:48:40	22	0	1
2016-05-15 19:49:40	22	0	1
2016-05-15 19:50:40	22	0	1
