SequenceSessionId	Tag	VisitId	Start	End	Address	Output	PackageName
0	98102108473	2	2016-05-17 10:59:25.89	2016-05-17 10:59:26.89	1	3	Wrong Time
1	98102109088	4	2016-05-17 12:27:15.31	2016-05-17 12:27:16.31	1	3	Wrong Time
2	98102056406	6	2016-05-17 14:02:39.18	2016-05-17 14:02:40.20	1	3	Wrong Time
3	98102254571	8	2016-05-17 16:19:45.48	2016-05-17 16:19:46.48	1	3	Wrong Time
4	98102056406	9	2016-05-17 16:32:30.93	2016-05-17 16:32:31.95	1	3	Wrong Time
5	98102056406	9	2016-05-17 16:32:34.34	2016-05-17 16:32:35.34	1	3	Wrong Time
6	98102056406	9	2016-05-17 16:32:38.17	2016-05-17 16:32:39.17	1	3	Wrong Time
7	98102056406	11	2016-05-17 16:54:18.71	2016-05-17 16:54:19.71	1	3	Wrong Time
8	98102056406	11	2016-05-17 16:54:29.29	2016-05-17 16:54:30.29	1	3	Wrong Time
9	98102056406	13	2016-05-17 16:56:24.31	2016-05-17 16:56:25.31	1	3	Wrong Time
10	98102056406	13	2016-05-17 16:56:25.76	2016-05-17 16:56:26.76	1	3	Wrong Time
11	98102056406	15	2016-05-17 16:59:12.29	2016-05-17 16:59:13.29	1	3	Wrong Time
12	98102056406	15	2016-05-17 16:59:14.95	2016-05-17 16:59:15.95	1	3	Wrong Time
13	98102056406	15	2016-05-17 16:59:54.21	2016-05-17 16:59:55.21	1	3	Wrong Time
14	98102108473	17	2016-05-17 17:08:08.56	2016-05-17 17:08:09.56	1	3	Wrong Time
15	98102109088	18	2016-05-17 17:30:02.00	2016-05-17 17:30:03.00	1	3	Wrong Time
16	98102108806	20	2016-05-17 17:40:33.29	2016-05-17 17:40:34.29	1	3	Wrong Time
17	98102108982	21	2016-05-17 17:48:14.26	2016-05-17 17:48:15.26	1	3	Wrong Time
18	98102108806	22	2016-05-17 17:53:12.37	2016-05-17 17:53:13.37	1	3	Wrong Time
19	98102108806	22	2016-05-17 17:53:15.17	2016-05-17 17:53:16.17	1	3	Wrong Time
20	98102109088	25	2016-05-17 19:03:04.00	2016-05-17 19:03:08.00	1	3	scrambled bjork
21	98102056406	27	2016-05-17 19:03:47.62	2016-05-17 19:03:48.62	1	3	scrambled bjork
22	98102056406	28	2016-05-17 19:04:03.21	2016-05-17 19:04:04.21	1	3	scrambled bjork
23	98102056406	29	2016-05-17 19:04:28.07	2016-05-17 19:04:29.07	1	3	scrambled bjork
24	98102056406	31	2016-05-17 19:05:02.82	2016-05-17 19:05:06.32	1	3	scrambled bjork
25	98102056406	34	2016-05-17 19:05:57.85	2016-05-17 19:06:01.35	1	3	scrambled bjork
26	98102108473	37	2016-05-17 19:08:17.17	2016-05-17 19:08:20.67	1	3	scrambled bjork
27	98102108473	38	2016-05-17 19:08:34.57	2016-05-17 19:08:38.07	1	3	scrambled bjork
28	98102254571	41	2016-05-17 19:09:28.39	2016-05-17 19:09:31.89	1	3	scrambled bjork
29	98102108982	42	2016-05-17 19:10:59.73	2016-05-17 19:11:03.23	1	3	scrambled bjork
30	98102108982	43	2016-05-17 19:11:19.89	2016-05-17 19:11:20.89	1	3	scrambled bjork
31	98102108982	45	2016-05-17 19:12:05.01	2016-05-17 19:12:08.51	1	3	scrambled bjork
32	98102109088	48	2016-05-17 19:13:51.59	2016-05-17 19:13:55.09	1	3	scrambled bjork
33	98102056406	49	2016-05-17 19:14:12.90	2016-05-17 19:14:16.40	1	3	scrambled bjork
34	98102108473	51	2016-05-17 19:16:40.90	2016-05-17 19:16:44.40	1	3	scrambled bjork
35	98102108806	55	2016-05-17 19:18:01.87	2016-05-17 19:18:02.87	1	3	scrambled bjork
36	98102056406	56	2016-05-17 19:21:47.73	2016-05-17 19:21:51.23	1	3	scrambled bjork
37	98102056406	58	2016-05-17 19:22:21.35	2016-05-17 19:22:22.35	1	3	scrambled bjork
38	98102056406	59	2016-05-17 19:22:35.00	2016-05-17 19:22:38.50	1	3	scrambled bjork
39	98102108806	60	2016-05-17 19:22:52.10	2016-05-17 19:22:53.10	1	3	scrambled bjork
40	98102056406	61	2016-05-17 19:23:04.64	2016-05-17 19:23:05.64	1	3	scrambled bjork
41	98102056406	63	2016-05-17 19:23:28.62	2016-05-17 19:23:32.12	1	3	scrambled bjork
42	98102108806	64	2016-05-17 19:23:39.21	2016-05-17 19:23:40.21	1	3	scrambled bjork
43	98102056406	65	2016-05-17 19:23:52.10	2016-05-17 19:23:53.12	1	3	scrambled bjork
44	98102108806	68	2016-05-17 19:24:19.37	2016-05-17 19:24:22.87	1	3	scrambled bjork
45	98102056406	69	2016-05-17 19:24:29.12	2016-05-17 19:24:32.62	1	3	scrambled bjork
46	98102108473	73	2016-05-17 19:25:30.60	2016-05-17 19:25:34.10	1	3	scrambled bjork
47	98102108473	74	2016-05-17 19:25:45.45	2016-05-17 19:25:48.95	1	3	scrambled bjork
48	98102108806	75	2016-05-17 19:25:56.40	2016-05-17 19:25:57.40	1	3	scrambled bjork
49	98102108806	77	2016-05-17 19:26:24.35	2016-05-17 19:26:27.85	1	3	scrambled bjork
50	98102108806	78	2016-05-17 19:26:47.01	2016-05-17 19:26:48.01	1	3	scrambled bjork
51	98102108806	79	2016-05-17 19:27:06.70	2016-05-17 19:27:10.20	1	3	scrambled bjork
52	98102108982	82	2016-05-17 19:29:11.35	2016-05-17 19:29:14.85	1	3	scrambled bjork
53	98102056406	83	2016-05-17 19:29:42.87	2016-05-17 19:29:46.37	1	3	scrambled bjork
54	98102108806	84	2016-05-17 19:30:29.73	2016-05-17 19:30:33.23	1	3	scrambled bjork
55	98102109088	88	2016-05-17 19:31:51.65	2016-05-17 19:31:55.15	1	3	scrambled bjork
56	98102109088	89	2016-05-17 19:32:28.84	2016-05-17 19:32:29.84	1	3	scrambled bjork
57	98102109088	91	2016-05-17 19:33:28.35	2016-05-17 19:33:31.85	1	3	scrambled bjork
58	98102108473	92	2016-05-17 19:33:42.18	2016-05-17 19:33:43.18	1	3	scrambled bjork
59	98102108473	94	2016-05-17 19:34:26.82	2016-05-17 19:34:30.32	1	3	scrambled bjork
60	98102108473	97	2016-05-17 19:35:19.26	2016-05-17 19:35:22.76	1	3	scrambled bjork
61	98102109088	98	2016-05-17 19:35:32.40	2016-05-17 19:35:33.40	1	3	scrambled bjork
62	98102109088	100	2016-05-17 19:36:57.71	2016-05-17 19:37:01.21	1	3	scrambled bjork
63	98102056406	101	2016-05-17 19:37:12.57	2016-05-17 19:37:16.07	1	3	scrambled bjork
64	98102108473	102	2016-05-17 19:38:18.71	2016-05-17 19:38:22.21	1	3	scrambled bjork
65	98102108473	105	2016-05-17 19:39:22.51	2016-05-17 19:39:23.51	1	3	scrambled bjork
66	98102109088	107	2016-05-17 19:40:17.06	2016-05-17 19:40:20.56	1	3	scrambled bjork
67	98102108806	110	2016-05-17 19:45:03.03	2016-05-17 19:45:04.03	1	3	scrambled bjork
68	98102108806	111	2016-05-17 19:45:27.54	2016-05-17 19:45:31.04	1	3	scrambled bjork
69	98102108806	112	2016-05-17 19:45:44.23	2016-05-17 19:45:45.23	1	3	scrambled bjork
70	98102056406	116	2016-05-17 19:51:18.87	2016-05-17 19:51:22.37	1	3	scrambled bjork
71	98102109088	119	2016-05-17 19:54:58.09	2016-05-17 19:55:01.59	1	3	scrambled bjork
72	98102108982	127	2016-05-17 20:28:05.87	2016-05-17 20:28:09.37	1	3	scrambled bjork
73	98102108982	128	2016-05-17 20:28:21.76	2016-05-17 20:28:25.26	1	3	scrambled bjork
74	98102254571	131	2016-05-17 20:39:10.50	2016-05-17 20:39:14.00	1	3	scrambled bjork
75	98102254571	132	2016-05-17 20:39:24.87	2016-05-17 20:39:28.37	1	3	scrambled bjork
76	98102108982	134	2016-05-17 20:45:28.89	2016-05-17 20:45:32.39	1	3	scrambled bjork
77	98102108982	138	2016-05-17 20:46:54.64	2016-05-17 20:46:55.64	1	3	scrambled bjork
78	98102108982	139	2016-05-17 20:47:20.00	2016-05-17 20:47:23.50	1	3	scrambled bjork
79	98102108473	141	2016-05-17 20:50:31.31	2016-05-17 20:50:35.31	1	3	scrambled bjork
80	98102254571	143	2016-05-17 20:51:15.82	2016-05-17 20:51:19.32	1	3	scrambled bjork
81	98102108806	145	2016-05-17 20:54:29.70	2016-05-17 20:54:33.20	1	3	scrambled bjork
82	98102108473	148	2016-05-17 20:55:05.09	2016-05-17 20:55:08.59	1	3	scrambled bjork
83	98102108473	150	2016-05-17 20:55:30.46	2016-05-17 20:55:31.46	1	3	scrambled bjork
84	98102108473	151	2016-05-17 20:55:49.26	2016-05-17 20:55:52.76	1	3	scrambled bjork
85	98102108473	152	2016-05-17 20:56:01.81	2016-05-17 20:56:05.31	1	3	scrambled bjork
86	98102108473	154	2016-05-17 20:56:32.54	2016-05-17 20:56:36.04	1	3	scrambled bjork
87	98102108473	155	2016-05-17 20:56:48.43	2016-05-17 20:56:49.45	1	3	scrambled bjork
88	98102109088	156	2016-05-17 20:59:53.60	2016-05-17 20:59:57.10	1	3	scrambled bjork
89	98102254571	159	2016-05-17 21:00:45.07	2016-05-17 21:00:48.57	1	3	scrambled bjork
90	98102254571	161	2016-05-17 21:02:03.56	2016-05-17 21:02:07.06	1	3	scrambled bjork
91	98102254571	164	2016-05-17 21:03:31.34	2016-05-17 21:03:34.84	1	3	scrambled bjork
92	98102254571	167	2016-05-17 21:04:54.28	2016-05-17 21:04:57.78	1	3	scrambled bjork
93	98102254571	169	2016-05-17 21:05:47.31	2016-05-17 21:05:50.81	1	3	scrambled bjork
94	98102056406	177	2016-05-17 21:08:57.31	2016-05-17 21:09:00.81	1	3	scrambled bjork
95	98102108473	178	2016-05-17 21:09:08.73	2016-05-17 21:09:12.23	1	3	scrambled bjork
96	98102056406	180	2016-05-17 21:09:30.45	2016-05-17 21:09:33.95	1	3	scrambled bjork
97	98102108473	184	2016-05-17 21:11:11.79	2016-05-17 21:11:15.29	1	3	scrambled bjork
98	98102056406	187	2016-05-17 21:12:37.29	2016-05-17 21:12:40.79	1	3	scrambled bjork
99	98102056406	189	2016-05-17 21:13:50.70	2016-05-17 21:13:54.20	1	3	scrambled bjork
100	98102056406	190	2016-05-17 21:14:01.31	2016-05-17 21:14:04.81	1	3	scrambled bjork
101	98102056406	192	2016-05-17 21:14:36.79	2016-05-17 21:14:40.29	1	3	scrambled bjork
102	98102056406	193	2016-05-17 21:14:54.56	2016-05-17 21:14:58.06	1	3	scrambled bjork
103	98102108806	194	2016-05-17 21:15:57.87	2016-05-17 21:16:01.37	1	3	scrambled bjork
104	98102056406	197	2016-05-17 21:21:43.31	2016-05-17 21:21:44.31	1	3	scrambled bjork
105	98102108982	198	2016-05-17 21:24:30.26	2016-05-17 21:24:31.26	1	3	scrambled bjork
106	98102108982	203	2016-05-17 21:27:33.71	2016-05-17 21:27:37.21	1	3	scrambled bjork
107	98102108982	204	2016-05-17 21:27:53.01	2016-05-17 21:27:54.01	1	3	scrambled bjork
108	98102254571	206	2016-05-17 21:35:10.23	2016-05-17 21:35:13.73	1	3	scrambled bjork
109	98102254571	207	2016-05-17 21:35:46.09	2016-05-17 21:35:47.09	1	3	scrambled bjork
110	98102254571	208	2016-05-17 21:36:07.62	2016-05-17 21:36:08.62	1	3	scrambled bjork
111	98102254571	209	2016-05-17 21:36:55.20	2016-05-17 21:36:56.20	1	3	scrambled bjork
112	98102254571	211	2016-05-17 21:37:44.40	2016-05-17 21:37:47.90	1	3	scrambled bjork
113	98102254571	214	2016-05-17 21:38:49.51	2016-05-17 21:38:50.51	1	3	scrambled bjork
114	98102254571	215	2016-05-17 21:39:16.79	2016-05-17 21:39:17.79	1	3	scrambled bjork
115	98102254571	216	2016-05-17 21:39:46.62	2016-05-17 21:39:50.12	1	3	scrambled bjork
116	98102254571	218	2016-05-17 21:40:29.29	2016-05-17 21:40:33.29	1	3	scrambled bjork
117	98102254571	219	2016-05-17 21:40:35.18	2016-05-17 21:40:38.68	1	3	scrambled bjork
118	98102254571	221	2016-05-17 21:41:24.45	2016-05-17 21:41:25.45	1	3	scrambled bjork
119	98102108473	230	2016-05-17 21:50:26.23	2016-05-17 21:50:29.73	1	3	scrambled bjork
120	98102108473	231	2016-05-17 21:50:39.89	2016-05-17 21:50:43.39	1	3	scrambled bjork
121	98102056406	232	2016-05-17 21:50:48.34	2016-05-17 21:50:51.84	1	3	scrambled bjork
122	98102108473	233	2016-05-17 21:51:00.84	2016-05-17 21:51:01.84	1	3	scrambled bjork
123	98102056406	235	2016-05-17 21:51:21.60	2016-05-17 21:51:25.10	1	3	scrambled bjork
124	98102056406	243	2016-05-17 21:53:10.32	2016-05-17 21:53:13.82	1	3	scrambled bjork
125	98102108806	244	2016-05-17 21:53:20.32	2016-05-17 21:53:23.82	1	3	scrambled bjork
126	98102056406	248	2016-05-17 21:55:18.98	2016-05-17 21:55:19.98	1	3	scrambled bjork
127	98102108473	251	2016-05-17 21:56:10.50	2016-05-17 21:56:14.00	1	3	scrambled bjork
128	98102109088	253	2016-05-17 22:00:59.12	2016-05-17 22:01:02.62	1	3	scrambled bjork
129	98102108982	257	2016-05-17 22:09:19.25	2016-05-17 22:09:22.75	1	3	scrambled bjork
130	98102108982	258	2016-05-17 22:09:38.01	2016-05-17 22:09:41.51	1	3	scrambled bjork
131	98102108982	259	2016-05-17 22:09:54.64	2016-05-17 22:09:58.14	1	3	scrambled bjork
132	98102108982	260	2016-05-17 22:10:13.45	2016-05-17 22:10:16.95	1	3	scrambled bjork
133	98102108473	261	2016-05-17 22:10:25.76	2016-05-17 22:10:29.26	1	3	scrambled bjork
134	98102108473	264	2016-05-17 22:11:18.92	2016-05-17 22:11:22.42	1	3	scrambled bjork
135	98102056406	266	2016-05-17 22:11:44.68	2016-05-17 22:11:45.68	1	3	scrambled bjork
136	98102109088	268	2016-05-17 22:13:32.43	2016-05-17 22:13:35.93	1	3	scrambled bjork
137	98102109088	270	2016-05-17 22:14:35.45	2016-05-17 22:14:36.46	1	3	scrambled bjork
138	98102109088	272	2016-05-17 22:15:27.54	2016-05-17 22:15:31.04	1	3	scrambled bjork
139	98102108806	274	2016-05-17 22:19:02.84	2016-05-17 22:19:06.34	1	3	scrambled bjork
140	98102108806	277	2016-05-17 22:20:05.46	2016-05-17 22:20:08.96	1	3	scrambled bjork
141	98102108806	278	2016-05-17 22:20:22.92	2016-05-17 22:20:23.93	1	3	scrambled bjork
142	98102108806	280	2016-05-17 22:21:00.39	2016-05-17 22:21:03.89	1	3	scrambled bjork
143	98102108473	282	2016-05-17 22:21:54.39	2016-05-17 22:21:55.39	1	3	scrambled bjork
144	98102108982	283	2016-05-17 22:33:27.01	2016-05-17 22:33:30.51	1	3	scrambled bjork
145	98102108982	284	2016-05-17 22:33:47.67	2016-05-17 22:33:48.67	1	3	scrambled bjork
146	98102108982	286	2016-05-17 22:34:04.96	2016-05-17 22:34:05.96	1	3	scrambled bjork
147	98102108982	289	2016-05-17 22:36:15.71	2016-05-17 22:36:19.73	1	3	scrambled bjork
148	98102108473	293	2016-05-17 22:38:04.70	2016-05-17 22:38:08.20	1	3	scrambled bjork
149	98102254571	296	2016-05-17 22:39:17.10	2016-05-17 22:39:18.10	1	3	scrambled bjork
150	98102108982	298	2016-05-17 22:39:49.46	2016-05-17 22:39:52.96	1	3	scrambled bjork
151	98102108982	299	2016-05-17 22:40:12.18	2016-05-17 22:40:15.68	1	3	scrambled bjork
152	98102108982	300	2016-05-17 22:40:30.20	2016-05-17 22:40:33.70	1	3	scrambled bjork
153	98102108982	301	2016-05-17 22:40:54.64	2016-05-17 22:40:55.64	1	3	scrambled bjork
154	98102056406	302	2016-05-17 22:41:03.01	2016-05-17 22:41:04.01	1	3	scrambled bjork
155	98102108806	303	2016-05-17 22:42:11.07	2016-05-17 22:42:14.57	1	3	scrambled bjork
156	98102056406	304	2016-05-17 22:42:31.84	2016-05-17 22:42:35.84	1	3	scrambled bjork
157	98102108473	307	2016-05-17 22:43:00.48	2016-05-17 22:43:04.48	1	3	scrambled bjork
158	98102056406	309	2016-05-17 22:43:22.14	2016-05-17 22:43:25.64	1	3	scrambled bjork
159	98102056406	312	2016-05-17 22:44:13.71	2016-05-17 22:44:17.21	1	3	scrambled bjork
160	98102108473	313	2016-05-17 22:44:27.59	2016-05-17 22:44:28.59	1	3	scrambled bjork
161	98102109088	314	2016-05-17 22:44:42.53	2016-05-17 22:44:46.03	1	3	scrambled bjork
162	98102109088	318	2016-05-17 22:45:57.78	2016-05-17 22:46:01.28	1	3	scrambled bjork
163	98102109088	319	2016-05-17 22:46:30.37	2016-05-17 22:46:33.87	1	3	scrambled bjork
164	98102108982	320	2016-05-17 22:46:49.56	2016-05-17 22:46:50.57	1	3	scrambled bjork
165	98102056406	323	2016-05-17 22:48:14.28	2016-05-17 22:48:17.78	1	3	scrambled bjork
166	98102254571	324	2016-05-17 22:49:11.70	2016-05-17 22:49:15.20	1	3	scrambled bjork
167	98102056406	330	2016-05-17 22:50:47.92	2016-05-17 22:50:48.92	1	3	scrambled bjork
168	98102108982	331	2016-05-17 22:50:59.31	2016-05-17 22:51:02.81	1	3	scrambled bjork
169	98102254571	333	2016-05-17 22:51:40.85	2016-05-17 22:51:44.35	1	3	scrambled bjork
170	98102254571	336	2016-05-17 22:53:12.00	2016-05-17 22:53:13.00	1	3	scrambled bjork
171	98102254571	337	2016-05-17 22:53:32.50	2016-05-17 22:53:36.00	1	3	scrambled bjork
172	98102254571	338	2016-05-17 22:53:58.21	2016-05-17 22:53:59.21	1	3	scrambled bjork
173	98102109088	340	2016-05-17 22:56:06.51	2016-05-17 22:56:10.01	1	3	scrambled bjork
174	98102109088	342	2016-05-17 22:56:36.00	2016-05-17 22:56:39.50	1	3	scrambled bjork
175	98102109088	343	2016-05-17 22:56:55.65	2016-05-17 22:56:59.15	1	3	scrambled bjork
176	98102109088	344	2016-05-17 22:57:12.73	2016-05-17 22:57:13.73	1	3	scrambled bjork
177	98102108982	347	2016-05-17 22:59:15.03	2016-05-17 22:59:16.04	1	3	scrambled bjork
178	98102108982	348	2016-05-17 22:59:35.23	2016-05-17 22:59:38.73	1	3	scrambled bjork
179	98102056406	350	2016-05-17 23:00:05.23	2016-05-17 23:00:08.73	1	3	scrambled bjork
180	98102108806	352	2016-05-17 23:00:34.29	2016-05-17 23:00:37.79	1	3	scrambled bjork
181	98102254571	354	2016-05-17 23:01:06.12	2016-05-17 23:01:09.62	1	3	scrambled bjork
182	98102108806	356	2016-05-17 23:01:52.59	2016-05-17 23:01:56.09	1	3	scrambled bjork
183	98102108806	357	2016-05-17 23:02:16.46	2016-05-17 23:02:19.96	1	3	scrambled bjork
184	98102056406	360	2016-05-17 23:03:50.98	2016-05-17 23:03:54.48	1	3	scrambled bjork
185	98102056406	361	2016-05-17 23:04:19.95	2016-05-17 23:04:23.45	1	3	scrambled bjork
186	98102109088	365	2016-05-17 23:09:12.31	2016-05-17 23:09:13.31	1	3	scrambled bjork
187	98102108982	366	2016-05-17 23:13:32.09	2016-05-17 23:13:33.09	1	3	scrambled bjork
188	98102109088	367	2016-05-17 23:13:55.96	2016-05-17 23:13:59.46	1	3	scrambled bjork
189	98102109088	369	2016-05-17 23:14:26.73	2016-05-17 23:14:27.73	1	3	scrambled bjork
190	98102108982	370	2016-05-17 23:15:07.28	2016-05-17 23:15:08.28	1	3	scrambled bjork
191	98102108982	371	2016-05-17 23:15:20.42	2016-05-17 23:15:24.42	1	3	scrambled bjork
192	98102108982	372	2016-05-17 23:15:24.70	2016-05-17 23:15:28.20	1	3	scrambled bjork
193	98102108806	374	2016-05-17 23:17:05.90	2016-05-17 23:17:09.40	1	3	scrambled bjork
194	98102108806	376	2016-05-17 23:17:41.59	2016-05-17 23:17:45.09	1	3	scrambled bjork
195	98102108982	378	2016-05-17 23:18:25.53	2016-05-17 23:18:29.03	1	3	scrambled bjork
196	98102108982	379	2016-05-17 23:18:42.37	2016-05-17 23:18:43.39	1	3	scrambled bjork
197	98102108982	380	2016-05-17 23:18:50.75	2016-05-17 23:18:54.25	1	3	scrambled bjork
198	98102108982	381	2016-05-17 23:19:15.54	2016-05-17 23:19:19.04	1	3	scrambled bjork
199	98102108982	383	2016-05-17 23:20:01.07	2016-05-17 23:20:04.57	1	3	scrambled bjork
200	98102108982	384	2016-05-17 23:20:20.37	2016-05-17 23:20:23.87	1	3	scrambled bjork
201	98102108982	385	2016-05-17 23:20:40.79	2016-05-17 23:20:41.79	1	3	scrambled bjork
202	98102056406	388	2016-05-17 23:22:16.68	2016-05-17 23:22:17.68	1	3	scrambled bjork
203	98102056406	391	2016-05-17 23:23:28.06	2016-05-17 23:23:31.56	1	3	scrambled bjork
204	98102254571	392	2016-05-17 23:25:19.42	2016-05-17 23:25:22.92	1	3	scrambled bjork
205	98102108982	393	2016-05-17 23:26:10.26	2016-05-17 23:26:11.26	1	3	scrambled bjork
206	98102108473	394	2016-05-17 23:26:42.60	2016-05-17 23:26:46.10	1	3	scrambled bjork
207	98102108982	396	2016-05-17 23:27:17.75	2016-05-17 23:27:18.75	1	3	scrambled bjork
208	98102108982	397	2016-05-17 23:27:33.81	2016-05-17 23:27:34.81	1	3	scrambled bjork
209	98102056406	400	2016-05-17 23:28:35.57	2016-05-17 23:28:39.07	1	3	scrambled bjork
210	98102056406	401	2016-05-17 23:29:01.15	2016-05-17 23:29:04.65	1	3	scrambled bjork
