VisitID	AnimalTag	Start	End	ModuleName	Cage	Corner	CornerCondition	PlaceError	AntennaNumber	AntennaDuration	PresenceNumber	PresenceDuration	VisitSolution
0	98102056406	2016-05-10 13:21:06.64	2016-05-10 13:21:11.37	Default	1	3	1	0	1	4.984375	1	2.671875	0
1	98102056406	2016-05-10 14:49:06.09	2016-05-10 14:49:11.42	Default	1	3	1	0	1	5.578125	1	4.296875	0
2	98102109088	2016-05-10 14:51:43.29	2016-05-10 14:51:51.71	Default	1	3	1	0	1	8.703125	1	6.890625	0
3	98102254571	2016-05-10 15:03:41.14	2016-05-10 15:03:48.12	Default	1	3	1	0	1	7	1	6.09375	0
4	98102108806	2016-05-10 15:37:54.71	2016-05-10 15:38:02.15	Default	1	3	1	0	1	7.78125	1	5.015625	0
5	98102108982	2016-05-10 15:41:47.65	2016-05-10 15:41:56.71	Default	1	3	1	0	1	9.59375	1	7.984375	0
6	98102108982	2016-05-10 15:41:58.12	2016-05-10 15:42:02.00	Default	1	3	1	0	1	4.34375	2	0.859375	0
7	98102108473	2016-05-10 15:51:23.26	2016-05-10 15:51:30.25	Default	1	3	1	0	2	6.9375	1	6.640625	0
8	98102254571	2016-05-10 15:55:40.87	2016-05-10 15:55:44.76	Default	1	3	1	0	1	3.953125	1	2.25	0
9	98102108982	2016-05-10 15:57:21.35	2016-05-10 15:57:26.67	Default	1	3	1	0	1	5.78125	1	4.328125	0
10	98102108473	2016-05-10 15:58:19.89	2016-05-10 15:58:21.75	Default	1	3	1	0	1	2.0625	1	0.921875	0
11	98102056406	2016-05-10 16:27:47.85	2016-05-10 16:27:54.10	Default	1	3	1	0	1	6.65625	1	5.0625	0
12	98102056406	2016-05-10 16:39:46.84	2016-05-10 16:39:54.79	Default	1	3	1	0	1	8.125	1	6.953125	0
13	98102109088	2016-05-10 17:10:32.54	2016-05-10 17:10:45.82	Default	1	3	1	0	1	13.484375	1	11.140625	0
14	98102108806	2016-05-10 17:12:44.62	2016-05-10 17:12:52.23	Default	1	3	1	0	1	7.953125	1	6	0
15	98102109088	2016-05-10 17:47:30.45	2016-05-10 17:47:36.21	Default	1	3	1	0	1	5.953125	1	4.796875	0
16	98102056406	2016-05-10 18:02:55.10	2016-05-10 18:04:21.17	Default	1	3	1	0	4	63.4375	0	0	3
17	98102108982	2016-05-10 18:04:21.17	2016-05-10 18:06:22.37	Default	1	3	1	0	3	110.15625	0	0	3
18	98102056406	2016-05-10 18:06:22.37	2016-05-10 18:06:43.20	Default	1	3	1	0	2	20.359375	0	0	3
19	98102108982	2016-05-10 18:06:43.20	2016-05-10 18:07:58.32	Default	1	3	1	0	4	71.5	0	0	3
20	98102056406	2016-05-10 18:07:58.32	2016-05-10 18:07:58.60	Default	1	3	1	0	1	0.28125	0	0	3
21	98102108982	2016-05-10 18:07:58.60	2016-05-10 18:07:58.76	Default	1	3	1	0	1	0.15625	0	0	3
22	98102056406	2016-05-10 18:07:58.76	2016-05-10 18:08:13.31	Default	1	3	1	0	1	14.546875	2	315.21875	0
23	98102108473	2016-05-10 18:12:20.84	2016-05-10 18:12:27.45	Default	1	3	1	0	2	6.578125	1	5.046875	0
24	98102108982	2016-05-10 18:14:10.23	2016-05-10 18:14:12.57	Default	1	3	1	0	1	2.625	1	1.125	0
25	98102108982	2016-05-10 18:15:39.43	2016-05-10 18:15:47.07	Default	1	3	1	0	1	8.03125	1	5.609375	0
26	98102108473	2016-05-10 18:15:49.46	2016-05-10 18:15:53.93	Default	1	3	1	0	1	4.46875	1	3.65625	0
27	98102108982	2016-05-10 18:17:15.21	2016-05-10 18:17:56.20	Default	1	3	1	0	1	40.6875	0	0	3
28	98102109088	2016-05-10 18:17:56.20	2016-05-10 18:17:58.39	Default	1	3	1	0	1	1.890625	0	0	3
29	98102108982	2016-05-10 18:17:58.39	2016-05-10 18:18:20.35	Default	1	3	1	0	4	19.5	0	0	3
30	98102109088	2016-05-10 18:18:20.35	2016-05-10 18:18:21.12	Default	1	3	1	0	1	0.765625	0	0	3
31	98102108982	2016-05-10 18:18:21.12	2016-05-10 18:18:22.39	Default	1	3	1	0	1	1.265625	0	0	3
32	98102109088	2016-05-10 18:18:22.39	2016-05-10 18:18:27.34	Default	1	3	1	0	3	4.953125	0	0	3
33	98102108982	2016-05-10 18:18:27.34	2016-05-10 18:18:28.00	Default	1	3	1	0	1	0.65625	0	0	3
34	98102109088	2016-05-10 18:18:28.00	2016-05-10 18:18:31.45	Default	1	3	1	0	1	3.453125	0	0	3
