DateTime	LogCategory	LogType	Cage	Corner	Side	LogNotes
2016-05-09 18:20:08.07	Info	Application				Session is started
2016-05-09 19:57:24.78	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-10 09:05:04.92	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-10 09:05:30.35	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-10 09:09:59.07	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-10 09:18:29.67	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-10 09:36:16.84	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-10 10:05:12.21	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-10 13:20:34.12	Info	Application				Session is stopped
