DateTime	LogCategory	LogType	Cage	Corner	Side	LogNotes
2016-05-22 11:14:27.06	Info	Application				Session is started
2016-05-22 11:16:41.76	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-22 18:28:01.09	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-22 18:41:28.98	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-22 21:22:08.37	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-05-23 00:21:14.28	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-23 00:21:25.84	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-23 00:23:37.71	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-23 00:34:20.29	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-23 00:40:02.35	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-23 07:05:48.75	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-23 13:14:20.53	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-23 18:29:06.64	Info	Application				Session is stopped
