VisitID	AnimalTag	Start	End	ModuleName	Cage	Corner	CornerCondition	PlaceError	AntennaNumber	AntennaDuration	PresenceNumber	PresenceDuration	VisitSolution
0	98102108982	2016-04-17 16:41:41.93	2016-04-17 16:42:20.43	Default	1	3	1	0	1	35.546875	1	46.71875	0
1	98102108806	2016-04-17 16:42:43.04	2016-04-17 16:42:59.07	Default	1	3	1	0	1	17.078125	4	13.703125	0
2	98102254571	2016-04-17 16:43:53.92	2016-04-17 16:44:11.60	Default	1	3	1	0	1	17.4375	1	18.484375	0
3	98102108806	2016-04-17 16:44:57.70	2016-04-17 16:45:10.12	Default	1	3	1	0	1	12.890625	1	11.4375	0
4	98102109088	2016-04-17 17:01:44.26	2016-04-17 17:01:51.34	Default	1	3	1	0	1	7.34375	1	6.125	0
5	98102109088	2016-04-17 17:01:52.17	2016-04-17 17:01:56.78	Default	1	3	1	0	1	4.796875	1	3.59375	0
6	98102109088	2016-04-17 17:03:15.28	2016-04-17 17:03:24.92	Default	1	3	1	0	1	9.703125	2	7.46875	0
7	98102109088	2016-04-17 17:04:39.37	2016-04-17 17:05:20.54	Default	1	3	1	0	1	41.3125	2	39.796875	0
8	98102109088	2016-04-17 17:05:22.79	2016-04-17 17:05:33.09	Default	1	3	1	0	1	10.453125	1	9.328125	0
9	98102109088	2016-04-17 17:08:10.84	2016-04-17 17:08:17.62	Default	1	3	1	0	1	6.859375	1	5.75	0
10	98102109088	2016-04-17 17:08:21.18	2016-04-17 17:08:24.00	Default	1	3	1	0	1	2.9375	1	1.828125	0
11	98102109088	2016-04-17 17:12:50.04	2016-04-17 17:13:02.17	Default	1	3	1	0	1	12.21875	2	10.765625	0
12	98102109088	2016-04-17 17:16:54.64	2016-04-17 17:17:08.31	Default	1	3	1	0	1	13.78125	1	12.6875	0
13	98102108473	2016-04-17 17:21:16.51	2016-04-17 17:21:32.35	Default	1	3	1	0	1	15.84375	1	16.265625	0
14	98102108473	2016-04-17 17:21:33.75	2016-04-17 17:21:40.98	Default	1	3	1	0	1	7.234375	1	6.5	0
15	98102254571	2016-04-17 17:22:09.64	2016-04-17 17:22:16.10	Default	1	3	1	0	1	6.46875	1	6.859375	0
16	98102109088	2016-04-17 17:22:46.39	2016-04-17 17:22:55.46	Default	1	3	1	0	1	9.1875	1	8	0
17	98102108473	2016-04-17 17:23:42.21	2016-04-17 17:24:12.93	Default	1	3	1	0	1	30.71875	1	30.265625	0
18	98102108473	2016-04-17 17:24:25.39	2016-04-17 17:24:26.70	Default	1	3	1	0	1	1.3125	1	0.84375	0
19	98102109088	2016-04-17 17:24:58.73	2016-04-17 17:25:44.89	Default	1	3	1	0	1	46.234375	1	45.234375	0
20	98102108473	2016-04-17 17:28:48.71	2016-04-17 17:29:05.10	Default	1	3	1	0	2	16.265625	2	15.234375	0
21	98102108473	2016-04-17 17:33:30.92	2016-04-17 17:34:26.85	Default	1	3	1	0	7	45.4375	1	55.390625	0
22	98102108982	2016-04-17 19:12:36.23	2016-04-17 19:12:43.42	Module 1	1	3	1	0	1	7.6875	1	6.09375	0
23	98102254571	2016-04-17 19:15:35.92	2016-04-17 19:15:44.48	Module 1	1	3	1	0	2	5.6875	1	7.53125	0
24	98102254571	2016-04-17 19:15:46.01	2016-04-17 19:15:53.98	Module 1	1	3	1	0	2	4.703125	1	7.125	0
25	98102254571	2016-04-17 19:17:12.14	2016-04-17 19:17:31.82	Module 1	1	3	1	0	2	18.453125	1	18.75	0
26	98102254571	2016-04-17 19:17:32.20	2016-04-17 19:17:35.04	Module 1	1	3	1	0	1	1	1	2.84375	0
27	98102254571	2016-04-17 19:17:35.82	2016-04-17 19:17:50.23	Module 1	1	3	1	0	2	13.25	0	0	3
28	98102108982	2016-04-17 19:17:50.23	2016-04-17 19:17:58.76	Module 1	1	3	1	0	2	8.046875	1	22.671875	0
29	98102108982	2016-04-17 19:17:58.84	2016-04-17 19:18:05.78	Module 1	1	3	1	0	1	7.015625	1	5.828125	0
30	98102108982	2016-04-17 19:18:46.93	2016-04-17 19:18:54.82	Module 1	1	3	1	0	1	8.3125	1	6.90625	0
31	98102108806	2016-04-17 19:19:19.78	2016-04-17 19:19:28.04	Module 1	1	3	1	0	1	8.609375	1	5.671875	0
32	98102108806	2016-04-17 19:19:28.79	2016-04-17 19:19:36.73	Module 1	1	3	1	0	1	8.203125	1	6.953125	0
33	98102108982	2016-04-17 19:20:04.60	2016-04-17 19:20:11.89	Module 1	1	3	1	0	1	7.75	1	6.296875	0
34	98102108806	2016-04-17 19:20:32.76	2016-04-17 19:20:40.00	Module 1	1	3	1	0	1	7.578125	1	5.609375	0
35	98102108982	2016-04-17 19:20:50.39	2016-04-17 19:20:58.62	Module 1	1	3	1	0	1	9.046875	1	6.71875	0
36	98102056406	2016-04-17 19:20:59.00	2016-04-17 19:21:06.06	Module 1	1	3	1	0	1	7.171875	1	6.0625	0
37	98102108806	2016-04-17 19:21:09.29	2016-04-17 19:21:15.15	Module 1	1	3	1	0	1	6.59375	2	4.21875	0
38	98102108806	2016-04-17 19:21:21.43	2016-04-17 19:21:30.31	Module 1	1	3	1	0	2	8.921875	0	0	3
39	98102108982	2016-04-17 19:21:30.31	2016-04-17 19:21:39.07	Module 1	1	3	1	0	2	7.796875	1	16.90625	0
40	98102108982	2016-04-17 19:21:59.98	2016-04-17 19:22:28.18	Module 1	1	3	1	0	1	28.296875	1	26.9375	0
41	98102056406	2016-04-17 19:22:28.39	2016-04-17 19:22:36.71	Module 1	1	3	1	0	1	8.328125	1	7.25	0
42	98102056406	2016-04-17 19:22:36.84	2016-04-17 19:22:45.46	Module 1	1	3	1	0	1	8.671875	1	7.265625	0
43	98102056406	2016-04-17 19:22:46.31	2016-04-17 19:22:59.81	Module 1	1	3	1	0	1	13.609375	1	11.640625	0
44	98102254571	2016-04-17 19:23:30.01	2016-04-17 19:23:47.62	Module 1	1	3	1	0	2	16.65625	1	16.703125	0
45	98102109088	2016-04-17 19:24:29.25	2016-04-17 19:24:47.25	Module 1	1	3	1	0	1	18.234375	2	15.890625	0
46	98102109088	2016-04-17 19:24:47.95	2016-04-17 19:24:54.65	Module 1	1	3	1	0	1	7.046875	1	5.75	0
47	98102109088	2016-04-17 19:24:57.32	2016-04-17 19:25:03.28	Module 1	1	3	1	0	1	6.21875	2	4.734375	0
48	98102056406	2016-04-17 19:25:34.46	2016-04-17 19:25:48.15	Module 1	1	3	1	0	3	13.71875	1	13.21875	0
49	98102254571	2016-04-17 19:25:49.39	2016-04-17 19:26:07.82	Module 1	1	3	1	0	2	17.421875	1	16.5625	0
50	98102056406	2016-04-17 19:26:08.06	2016-04-17 19:26:11.34	Module 1	1	3	1	0	1	3.28125	1	2.34375	0
51	98102056406	2016-04-17 19:26:15.03	2016-04-17 19:26:17.62	Module 1	1	3	1	0	1	3.015625	1	1.671875	0
52	98102056406	2016-04-17 19:26:18.51	2016-04-17 19:26:25.73	Module 1	1	3	1	0	1	7.296875	1	6.265625	0
53	98102254571	2016-04-17 19:26:25.92	2016-04-17 19:26:26.96	Module 1	1	3	1	0	1	1.078125	1	0.265625	0
54	98102254571	2016-04-17 19:26:28.50	2016-04-17 19:26:35.21	Module 1	1	3	1	0	2	5.609375	1	5.921875	0
55	98102108806	2016-04-17 19:26:51.34	2016-04-17 19:26:59.54	Module 1	1	3	1	0	1	8.265625	1	7.1875	0
56	98102108806	2016-04-17 19:27:00.03	2016-04-17 19:27:07.79	Module 1	1	3	1	0	1	8	1	6.921875	0
57	98102108806	2016-04-17 19:27:09.82	2016-04-17 19:27:17.15	Module 1	1	3	1	0	1	7.59375	1	6.34375	0
58	98102108806	2016-04-17 19:27:19.18	2016-04-17 19:27:26.71	Module 1	1	3	1	0	1	7.953125	1	6.53125	0
59	98102108806	2016-04-17 19:27:27.28	2016-04-17 19:27:35.09	Module 1	1	3	1	0	1	7.96875	1	6.859375	0
60	98102108982	2016-04-17 19:27:54.54	2016-04-17 19:28:13.53	Module 1	1	3	1	0	1	19.515625	2	16.390625	0
