DateTime	HardwareType	Cage	Corner	Side	State
2016-04-17 16:40:46.15	0	1	2		0
2016-04-17 16:40:46.17	0	1	3		0
2016-04-17 16:40:46.17	0	1	4		0
2016-04-17 16:40:46.17	1	1	1	1	1
2016-04-17 16:40:46.17	2	1	1	1	0
2016-04-17 16:40:46.17	1	1	1	2	1
2016-04-17 16:40:46.17	2	1	1	2	0
2016-04-17 16:40:46.17	1	1	2	3	1
2016-04-17 16:40:46.18	2	1	2	3	0
2016-04-17 16:40:46.18	1	1	2	4	1
2016-04-17 16:40:46.18	2	1	2	4	0
2016-04-17 16:40:46.18	1	1	3	5	1
2016-04-17 16:40:46.18	2	1	3	5	0
2016-04-17 16:40:46.18	1	1	3	6	0
2016-04-17 16:40:46.18	2	1	3	6	0
2016-04-17 16:40:46.20	1	1	4	7	1
2016-04-17 16:40:46.20	2	1	4	7	0
2016-04-17 16:40:46.20	1	1	4	8	1
2016-04-17 16:40:46.20	2	1	4	8	0
2016-04-17 16:40:46.20	1	1	3	6	1
2016-04-17 16:40:46.20	0	1	1		0
2016-04-17 16:40:46.20	0	1	2		0
2016-04-17 16:40:46.25	0	1	3		0
2016-04-17 16:40:46.25	0	1	4		0
2016-04-17 16:40:46.25	1	1	1	1	1
2016-04-17 16:40:46.28	2	1	1	1	0
2016-04-17 16:40:46.29	1	1	1	2	1
2016-04-17 16:40:46.39	2	1	1	2	0
2016-04-17 16:40:46.39	1	1	2	3	1
2016-04-17 16:40:46.50	2	1	2	3	0
2016-04-17 16:40:46.50	1	1	2	4	1
2016-04-17 16:40:46.50	2	1	2	4	0
2016-04-17 16:40:46.50	1	1	3	5	1
2016-04-17 16:40:46.50	2	1	3	5	0
2016-04-17 16:40:46.50	1	1	3	6	1
2016-04-17 16:40:46.51	2	1	3	6	0
2016-04-17 16:40:46.60	1	1	4	7	1
2016-04-17 16:40:46.60	2	1	4	7	0
2016-04-17 16:40:46.60	1	1	4	8	1
2016-04-17 16:40:46.60	2	1	4	8	0
2016-04-17 16:40:47.92	1	1	3	6	0
2016-04-17 16:40:50.09	1	1	3	5	0
2016-04-17 19:12:36.32	2	1	3	5	96
2016-04-17 19:12:36.46	1	1	3	5	0
2016-04-17 19:12:36.70	1	1	3	5	1
2016-04-17 19:12:41.32	2	1	3	5	0
2016-04-17 19:12:41.34	2	1	3	6	0
2016-04-17 19:12:41.37	1	1	3	5	1
2016-04-17 19:12:41.39	1	1	3	6	0
2016-04-17 19:12:42.76	1	1	3	5	0
2016-04-17 19:12:43.43	2	1	3	5	0
2016-04-17 19:12:43.46	2	1	3	6	0
2016-04-17 19:15:35.93	2	1	3	5	96
2016-04-17 19:15:35.96	1	1	3	5	0
2016-04-17 19:15:37.25	1	1	3	5	1
2016-04-17 19:15:40.95	2	1	3	5	0
2016-04-17 19:15:40.96	2	1	3	6	0
2016-04-17 19:15:41.00	1	1	3	5	1
2016-04-17 19:15:41.01	1	1	3	6	0
2016-04-17 19:15:42.37	1	1	3	5	0
2016-04-17 19:15:44.50	2	1	3	5	0
2016-04-17 19:15:44.53	2	1	3	6	0
2016-04-17 19:15:46.04	2	1	3	5	96
2016-04-17 19:15:46.07	1	1	3	5	0
2016-04-17 19:15:47.45	1	1	3	5	1
2016-04-17 19:15:51.04	2	1	3	5	0
2016-04-17 19:15:51.07	2	1	3	6	0
2016-04-17 19:15:51.09	1	1	3	5	1
2016-04-17 19:15:51.10	1	1	3	6	0
2016-04-17 19:15:54.00	2	1	3	5	0
2016-04-17 19:15:54.04	2	1	3	6	0
2016-04-17 19:15:54.59	1	1	3	5	0
2016-04-17 19:17:12.15	2	1	3	5	96
2016-04-17 19:17:12.18	1	1	3	5	0
2016-04-17 19:17:13.56	1	1	3	5	1
2016-04-17 19:17:17.17	2	1	3	5	0
2016-04-17 19:17:17.18	2	1	3	6	0
2016-04-17 19:17:17.20	1	1	3	5	1
2016-04-17 19:17:17.23	1	1	3	6	0
2016-04-17 19:17:18.60	1	1	3	5	0
2016-04-17 19:17:31.84	2	1	3	5	0
2016-04-17 19:17:31.87	2	1	3	6	0
2016-04-17 19:17:32.23	2	1	3	5	96
2016-04-17 19:17:32.26	1	1	3	5	0
2016-04-17 19:17:32.73	1	1	3	5	1
2016-04-17 19:17:35.06	2	1	3	5	0
2016-04-17 19:17:35.09	2	1	3	6	0
2016-04-17 19:17:35.84	2	1	3	5	96
2016-04-17 19:17:35.87	1	1	3	5	1
2016-04-17 19:17:40.84	2	1	3	5	0
2016-04-17 19:17:40.87	2	1	3	6	0
2016-04-17 19:17:40.89	1	1	3	5	1
2016-04-17 19:17:40.90	1	1	3	6	0
2016-04-17 19:17:44.39	1	1	3	5	0
2016-04-17 19:17:50.29	2	1	3	5	0
2016-04-17 19:17:50.31	2	1	3	6	0
2016-04-17 19:17:50.32	2	1	3	5	96
2016-04-17 19:17:50.35	1	1	3	5	0
2016-04-17 19:17:51.62	1	1	3	5	1
2016-04-17 19:17:55.29	2	1	3	5	0
2016-04-17 19:17:55.31	2	1	3	6	0
2016-04-17 19:17:55.32	1	1	3	5	1
2016-04-17 19:17:55.35	1	1	3	6	0
2016-04-17 19:17:56.73	1	1	3	5	0
2016-04-17 19:17:58.78	2	1	3	5	0
2016-04-17 19:17:58.81	2	1	3	6	0
2016-04-17 19:17:58.85	2	1	3	5	96
2016-04-17 19:17:58.89	1	1	3	5	0
2016-04-17 19:18:00.03	1	1	3	5	1
2016-04-17 19:18:03.85	2	1	3	5	0
2016-04-17 19:18:03.87	2	1	3	6	0
2016-04-17 19:18:03.90	1	1	3	5	1
2016-04-17 19:18:03.92	1	1	3	6	0
2016-04-17 19:18:05.79	2	1	3	5	0
2016-04-17 19:18:05.82	2	1	3	6	0
2016-04-17 19:18:07.40	1	1	3	5	0
2016-04-17 19:18:46.95	2	1	3	5	96
2016-04-17 19:18:46.98	1	1	3	5	0
2016-04-17 19:18:48.31	1	1	3	5	1
2016-04-17 19:18:51.96	2	1	3	5	0
2016-04-17 19:18:51.98	2	1	3	6	0
2016-04-17 19:18:52.01	1	1	3	5	1
2016-04-17 19:18:52.03	1	1	3	6	0
2016-04-17 19:18:54.84	2	1	3	5	0
2016-04-17 19:18:54.87	2	1	3	6	0
2016-04-17 19:18:55.50	1	1	3	5	0
2016-04-17 19:19:19.79	2	1	3	5	96
2016-04-17 19:19:19.82	1	1	3	5	0
2016-04-17 19:19:21.21	1	1	3	5	1
2016-04-17 19:19:24.81	2	1	3	5	0
2016-04-17 19:19:24.82	2	1	3	6	0
2016-04-17 19:19:24.85	1	1	3	5	1
2016-04-17 19:19:24.87	1	1	3	6	0
2016-04-17 19:19:26.25	1	1	3	5	0
2016-04-17 19:19:28.06	2	1	3	5	0
2016-04-17 19:19:28.09	2	1	3	6	0
2016-04-17 19:19:28.81	2	1	3	5	96
2016-04-17 19:19:28.84	1	1	3	5	0
2016-04-17 19:19:30.25	1	1	3	5	1
2016-04-17 19:19:33.81	2	1	3	5	0
2016-04-17 19:19:33.82	2	1	3	6	0
2016-04-17 19:19:33.85	1	1	3	5	1
2016-04-17 19:19:33.87	1	1	3	6	0
2016-04-17 19:19:36.75	2	1	3	5	0
2016-04-17 19:19:36.78	2	1	3	6	0
2016-04-17 19:19:37.35	1	1	3	5	0
2016-04-17 19:20:04.62	2	1	3	5	96
2016-04-17 19:20:04.65	1	1	3	5	0
2016-04-17 19:20:06.00	1	1	3	5	1
