VisitID	AnimalTag	Start	End	ModuleName	Cage	Corner	CornerCondition	PlaceError	AntennaNumber	AntennaDuration	PresenceNumber	PresenceDuration	VisitSolution
0	98102108806	2016-06-05 10:41:41.62	2016-06-05 10:41:46.14	Default	1	3	1	0	1	4.78125	1	3.484375	0
1	98102109088	2016-06-05 10:41:54.57	2016-06-05 10:42:25.76	Default	1	3	1	0	1	31.546875	1	30.03125	0
2	98102108473	2016-06-05 10:42:26.59	2016-06-05 10:42:33.09	Default	1	3	1	0	1	6.734375	1	5.5625	0
3	98102056406	2016-06-05 10:43:11.73	2016-06-05 10:43:18.04	Default	1	3	1	0	1	6.890625	1	5.171875	0
4	98102056406	2016-06-05 10:44:33.78	2016-06-05 10:44:37.71	Default	1	3	1	0	1	4.265625	1	2.890625	0
5	98102056406	2016-06-05 10:55:55.57	2016-06-05 10:55:57.07	Default	1	3	1	0	1	1.78125	1	0.265625	0
6	98102108473	2016-06-05 10:55:59.96	2016-06-05 10:56:01.35	Default	1	3	1	0	1	1.578125	2	0.140625	0
7	98102108806	2016-06-05 10:56:50.29	2016-06-05 10:56:53.03	Default	1	3	1	0	1	3.0625	1	1.328125	0
8	98102056406	2016-06-05 11:01:49.23	2016-06-05 11:01:53.06	Default	1	3	1	0	1	3.90625	1	2.859375	0
9	98102108806	2016-06-05 11:04:25.18	2016-06-05 11:04:38.26	Default	1	3	1	0	1	13.5	2	11.078125	0
10	98102109088	2016-06-05 11:41:18.51	2016-06-05 11:41:29.25	Default	1	3	1	0	1	11.25	1	9.109375	0
11	98102109088	2016-06-05 13:23:28.32	2016-06-05 13:23:40.62	Default	1	3	1	0	1	12.59375	1	11.25	0
12	98102056406	2016-06-05 13:28:57.85	2016-06-05 13:28:59.90	Default	1	3	1	0	1	2.53125	1	1.046875	0
13	98102108473	2016-06-05 13:33:31.42	2016-06-05 13:34:00.39	Default	1	3	1	0	2	27.265625	1	28.078125	0
14	98102108473	2016-06-05 13:47:38.03	2016-06-05 13:47:47.62	Default	1	3	1	0	2	9.25	1	8.75	0
15	98102056406	2016-06-05 14:09:46.25	2016-06-05 14:11:22.37	Default	1	3	1	0	2	97.515625	1	94.96875	0
16	98102056406	2016-06-05 14:11:59.43	2016-06-05 14:12:02.65	Default	1	3	1	0	1	3.578125	1	2.140625	0
17	98102108473	2016-06-05 14:12:04.93	2016-06-05 14:14:54.54	Default	1	3	1	0	18	148.125	1	168.28125	0
18	98102056406	2016-06-05 14:14:55.20	2016-06-05 14:15:29.98	Default	1	3	1	0	2	33.375	0	0	3
19	98102108473	2016-06-05 14:15:29.98	2016-06-05 14:15:38.18	Default	1	3	1	0	1	8.203125	1	42.578125	0
20	98102056406	2016-06-05 14:15:39.84	2016-06-05 14:15:56.43	Default	1	3	1	0	1	16.640625	1	15.46875	0
21	98102108473	2016-06-05 14:15:57.96	2016-06-05 14:16:32.57	Default	1	3	1	0	3	32.859375	1	33.25	0
22	98102056406	2016-06-05 14:16:33.93	2016-06-05 14:17:32.95	Default	1	3	1	0	1	57.859375	1	59.015625	0
23	98102056406	2016-06-05 14:17:45.31	2016-06-05 14:17:52.82	Default	1	3	1	0	1	8.515625	1	6.546875	0
24	98102109088	2016-06-05 14:17:56.57	2016-06-05 14:18:59.20	Default	1	3	1	0	1	63.234375	0	0	3
25	98102056406	2016-06-05 14:18:59.20	2016-06-05 14:19:09.59	Default	1	3	1	0	2	10.34375	1	72.609375	0
26	98102056406	2016-06-05 14:19:09.93	2016-06-05 14:20:22.42	Default	1	3	1	0	2	69.125	2	71.265625	0
27	98102109088	2016-06-05 14:20:23.23	2016-06-05 14:20:59.78	Default	1	3	1	0	1	36.8125	2	34.453125	0
28	98102109088	2016-06-05 14:21:00.81	2016-06-05 14:21:21.20	Default	1	3	1	0	1	20.59375	1	19.484375	0
29	98102109088	2016-06-05 14:21:31.17	2016-06-05 14:21:45.37	Default	1	3	1	0	1	14.53125	1	12.765625	0
30	98102109088	2016-06-05 14:23:00.34	2016-06-05 14:23:22.89	Default	1	3	1	0	1	23.46875	1	21.5625	0
31	98102109088	2016-06-05 14:23:23.78	2016-06-05 14:23:33.21	Default	1	3	1	0	1	9.859375	1	7.734375	0
32	98102109088	2016-06-05 16:07:59.73	2016-06-05 16:08:01.64	Default	1	3	1	0	1	2.25	1	0.890625	0
33	98102108473	2016-06-05 16:39:42.14	2016-06-05 16:39:51.26	Default	1	3	1	0	1	9.78125	1	8.140625	0
34	98102108806	2016-06-05 17:09:46.45	2016-06-05 17:09:52.98	Default	1	3	1	0	1	6.703125	1	5.484375	0
35	98102056406	2016-06-05 17:58:42.21	2016-06-05 17:58:47.07	Default	1	3	1	0	1	5.109375	1	3.8125	0
36	98102108473	2016-06-05 18:01:51.57	2016-06-05 18:01:56.60	Default	1	3	1	0	1	5.21875	1	3.984375	0
37	98102056406	2016-06-05 18:06:41.70	2016-06-05 18:06:48.65	Default	1	3	1	0	1	7.484375	1	5.953125	0
38	98102108473	2016-06-05 18:10:04.71	2016-06-05 18:10:20.20	Default	1	3	1	0	2	15.25	1	14.6875	0
39	98102108473	2016-06-05 18:10:22.84	2016-06-05 18:10:26.57	Default	1	3	1	0	1	3.671875	1	2.875	0
40	98102109088	2016-06-05 18:10:46.34	2016-06-05 18:10:58.65	Default	1	3	1	0	1	12.625	1	11.328125	0
41	98102109088	2016-06-05 18:11:00.51	2016-06-05 18:11:07.43	Default	1	3	1	0	1	7.265625	1	5.984375	0
42	98102108806	2016-06-05 18:16:50.48	2016-06-05 18:17:00.48	Default	1	3	1	0	1	11.359375	1	8.921875	0
43	98102108806	2016-06-05 18:17:04.54	2016-06-05 18:17:15.03	Default	1	3	1	0	1	10.625	1	9.40625	0
44	98102108806	2016-06-05 18:17:15.37	2016-06-05 18:17:21.67	Default	1	3	1	0	1	6.515625	1	5.21875	0
45	98102056406	2016-06-05 18:18:09.73	2016-06-05 18:18:24.37	Default	1	3	1	0	1	15.03125	1	13.5	0
46	98102056406	2016-06-05 18:18:27.20	2016-06-05 18:18:38.75	Default	1	3	1	0	1	11.984375	1	9.9375	0
47	98102108473	2016-06-05 18:26:40.25	2016-06-05 18:26:50.15	Default	1	3	1	0	1	10	1	9	0
48	98102056406	2016-06-05 18:28:45.60	2016-06-05 18:28:50.75	Default	1	3	1	0	1	5.703125	1	4.171875	0
49	98102108473	2016-06-05 19:01:23.01	2016-06-05 19:01:28.46	Module 4	1	3	1	0	1	5.6875	1	4.59375	0
50	98102108473	2016-06-05 19:03:03.92	2016-06-05 19:03:09.34	Module 4	1	3	1	0	1	5.5625	1	4.546875	0
51	98102108806	2016-06-05 19:11:10.98	2016-06-05 19:11:16.18	Module 4	1	3	1	0	1	5.3125	1	4.15625	0
52	98102109088	2016-06-05 19:30:55.56	2016-06-05 19:31:02.06	Module 1	1	3	1	0	1	7.0625	1	5.546875	0
53	98102056406	2016-06-05 19:51:02.53	2016-06-05 19:51:07.56	Module 4	1	3	1	0	1	5.25	1	4.046875	0
54	98102108806	2016-06-05 19:52:09.29	2016-06-05 19:52:18.42	Module 6	1	3	1	0	1	9.15625	1	8.171875	0
55	98102108806	2016-06-05 19:52:20.34	2016-06-05 19:52:27.26	Module 6	1	3	1	0	1	7.015625	1	5.90625	0
56	98102109088	2016-06-05 19:52:33.98	2016-06-05 19:52:40.68	Module 1	1	3	1	0	1	7.546875	1	5.71875	0
57	98102108473	2016-06-05 19:53:03.28	2016-06-05 19:53:10.43	Module 6	1	3	1	0	1	7.15625	1	6.28125	0
58	98102056406	2016-06-05 20:09:09.75	2016-06-05 20:09:40.70	Module 1	1	3	1	0	1	31	2	28.140625	0
59	98102056406	2016-06-05 20:11:16.56	2016-06-05 20:11:28.85	Module 2	1	3	1	0	1	12.5	1	11.125	0
60	98102056406	2016-06-05 20:11:31.70	2016-06-05 20:11:51.57	Module 3	1	3	1	0	1	20.140625	1	18.46875	0
61	98102056406	2016-06-05 20:11:52.62	2016-06-05 20:12:11.35	Module 3	1	3	1	0	1	19.546875	2	15.796875	0
62	98102108473	2016-06-05 20:18:50.25	2016-06-05 20:18:57.64	Module 5	1	3	1	0	1	7.390625	1	6.59375	0
63	98102108806	2016-06-05 20:24:28.68	2016-06-05 20:24:54.00	Module 2	1	3	1	0	1	25.6875	3	22.296875	0
64	98102108806	2016-06-05 20:24:55.85	2016-06-05 20:25:01.04	Module 4	1	3	1	0	1	5.296875	1	4.15625	0
65	98102108473	2016-06-05 20:25:07.73	2016-06-05 20:25:12.37	Module 4	1	3	1	0	1	4.8125	1	3.796875	0
66	98102108473	2016-06-05 20:25:33.03	2016-06-05 20:25:38.21	Module 4	1	3	1	0	1	5.1875	1	4.359375	0
67	98102056406	2016-06-05 20:26:21.25	2016-06-05 20:26:29.04	Module 6	1	3	1	0	1	7.90625	1	6.625	0
68	98102056406	2016-06-05 20:27:42.67	2016-06-05 20:27:58.84	Module 3	1	3	1	0	1	16.296875	1	15.1875	0
69	98102056406	2016-06-05 20:27:59.07	2016-06-05 20:28:04.25	Module 4	1	3	1	0	1	5.3125	1	4.21875	0
70	98102109088	2016-06-05 20:28:18.42	2016-06-05 20:28:28.06	Module 5	1	3	1	0	1	10.078125	2	8.46875	0
71	98102056406	2016-06-05 20:29:27.01	2016-06-05 20:29:32.51	Module 4	1	3	1	0	1	5.78125	1	4.5	0
72	98102056406	2016-06-05 20:33:35.31	2016-06-05 20:33:50.04	Module 2	1	3	1	0	1	14.8125	1	13.734375	0
73	98102108806	2016-06-05 20:33:57.29	2016-06-05 20:34:04.43	Module 3	1	3	1	0	1	7.28125	1	6.109375	0
74	98102109088	2016-06-05 20:34:05.64	2016-06-05 20:34:24.59	Module 6	1	3	1	0	1	19.359375	2	16.8125	0
75	98102056406	2016-06-05 20:34:25.43	2016-06-05 20:34:39.70	Module 3	1	3	1	0	1	14.453125	1	13.375	0
76	98102108473	2016-06-05 20:34:40.43	2016-06-05 20:34:46.85	Module 6	1	3	1	0	1	6.53125	2	5.71875	0
77	98102056406	2016-06-05 20:34:53.09	2016-06-05 20:34:59.35	Module 5	1	3	1	0	1	6.421875	1	5.265625	0
78	98102056406	2016-06-05 20:35:02.92	2016-06-05 20:35:21.85	Module 3	1	3	1	0	1	19	1	17.96875	0
79	98102056406	2016-06-05 20:35:22.59	2016-06-05 20:35:36.26	Module 3	1	3	1	0	1	13.890625	1	12.703125	0
80	98102056406	2016-06-05 20:35:51.78	2016-06-05 20:36:14.00	Module 1	1	3	1	0	1	22.40625	2	20.5	0
81	98102056406	2016-06-05 20:37:06.75	2016-06-05 20:37:24.62	Module 3	1	3	1	0	1	17.953125	2	10.09375	0
82	98102056406	2016-06-05 20:37:34.56	2016-06-05 20:37:39.62	Module 4	1	3	1	0	1	5.21875	1	4.078125	0
