DateTime	HardwareType	Cage	Corner	Side	State
2016-04-26 18:20:56.12	0	1	2		0
2016-04-26 18:20:56.14	0	1	3		0
2016-04-26 18:20:56.14	0	1	4		0
2016-04-26 18:20:56.14	1	1	1	1	1
2016-04-26 18:20:56.15	2	1	1	1	0
2016-04-26 18:20:56.15	1	1	1	2	1
2016-04-26 18:20:56.15	2	1	1	2	0
2016-04-26 18:20:56.15	1	1	2	3	1
2016-04-26 18:20:56.15	2	1	2	3	0
2016-04-26 18:20:56.15	1	1	2	4	1
2016-04-26 18:20:56.15	2	1	2	4	0
2016-04-26 18:20:56.15	1	1	3	5	0
2016-04-26 18:20:56.15	2	1	3	5	0
2016-04-26 18:20:56.15	1	1	3	6	0
2016-04-26 18:20:56.15	2	1	3	6	0
2016-04-26 18:20:56.15	1	1	4	7	1
2016-04-26 18:20:56.17	2	1	4	7	0
2016-04-26 18:20:56.17	1	1	4	8	1
2016-04-26 18:20:56.17	2	1	4	8	0
2016-04-26 18:20:56.17	0	1	1		0
2016-04-26 18:20:56.17	0	1	2		0
2016-04-26 18:20:56.17	0	1	3		0
2016-04-26 18:20:56.20	0	1	4		0
2016-04-26 18:20:56.23	1	1	1	1	1
2016-04-26 18:20:56.25	2	1	1	1	0
2016-04-26 18:20:56.29	1	1	1	2	1
2016-04-26 18:20:56.31	2	1	1	2	0
2016-04-26 18:20:56.32	1	1	2	3	1
2016-04-26 18:20:56.35	2	1	2	3	0
2016-04-26 18:20:56.37	1	1	2	4	1
2016-04-26 18:20:56.39	2	1	2	4	0
2016-04-26 18:20:56.42	1	1	3	5	0
2016-04-26 18:20:56.43	2	1	3	5	0
2016-04-26 18:20:56.46	1	1	3	6	0
2016-04-26 18:20:56.48	2	1	3	6	0
2016-04-26 18:20:56.51	1	1	4	7	1
2016-04-26 18:20:56.53	2	1	4	7	0
2016-04-26 18:20:56.56	1	1	4	8	1
2016-04-26 18:20:56.57	2	1	4	8	0
2016-04-26 19:35:21.09	1	1	3	5	0
2016-04-26 19:35:21.10	1	1	3	6	0
2016-04-26 19:35:21.12	2	1	3	5	0
2016-04-26 19:35:21.14	2	1	3	6	0
2016-04-26 19:39:42.40	2	1	3	5	96
2016-04-26 19:39:42.75	1	1	3	5	0
2016-04-26 19:39:43.92	2	1	3	5	0
2016-04-26 19:39:44.14	1	1	3	5	1
2016-04-26 19:39:45.73	1	1	3	5	1
2016-04-26 19:39:47.09	1	1	3	5	0
2016-04-26 19:40:20.12	1	1	3	5	0
2016-04-26 19:40:20.14	1	1	3	6	0
2016-04-26 19:40:20.15	2	1	3	5	0
2016-04-26 19:40:20.17	2	1	3	6	0
2016-04-26 19:40:41.98	1	1	3	5	0
2016-04-26 19:40:42.01	1	1	3	6	0
2016-04-26 19:40:42.01	2	1	3	5	0
2016-04-26 19:40:42.04	2	1	3	6	0
2016-04-26 19:40:43.76	2	1	3	5	96
2016-04-26 19:40:45.26	2	1	3	5	0
2016-04-26 19:40:56.17	1	1	3	5	0
2016-04-26 19:40:56.18	1	1	3	6	0
2016-04-26 19:40:56.18	2	1	3	5	0
2016-04-26 19:40:56.21	2	1	3	6	0
2016-04-26 19:41:13.04	1	1	3	5	0
2016-04-26 19:41:13.06	1	1	3	6	0
2016-04-26 19:41:13.06	2	1	3	5	0
2016-04-26 19:41:13.09	2	1	3	6	0
2016-04-26 19:41:17.42	2	1	3	5	96
2016-04-26 19:41:17.68	1	1	3	5	0
2016-04-26 19:41:18.93	2	1	3	5	0
2016-04-26 19:41:19.09	1	1	3	5	1
2016-04-26 19:41:20.68	1	1	3	5	1
2016-04-26 19:41:22.09	1	1	3	5	0
2016-04-26 19:42:02.67	1	1	3	5	0
2016-04-26 19:42:02.68	1	1	3	6	0
2016-04-26 19:42:02.70	2	1	3	5	0
2016-04-26 19:42:02.71	2	1	3	6	0
2016-04-26 19:42:13.57	1	1	3	5	0
2016-04-26 19:42:13.59	1	1	3	6	0
2016-04-26 19:42:13.60	2	1	3	5	0
2016-04-26 19:42:13.62	2	1	3	6	0
2016-04-26 19:42:18.82	2	1	3	5	96
2016-04-26 19:42:19.29	1	1	3	5	0
2016-04-26 19:42:20.31	1	1	3	5	1
2016-04-26 19:42:20.32	2	1	3	5	0
2016-04-26 19:42:22.29	1	1	3	5	1
2016-04-26 19:42:25.78	1	1	3	5	0
2016-04-26 19:42:53.82	1	1	3	5	0
2016-04-26 19:42:53.84	1	1	3	6	0
2016-04-26 19:42:53.85	2	1	3	5	0
2016-04-26 19:42:53.87	2	1	3	6	0
2016-04-26 19:43:11.85	1	1	3	5	0
2016-04-26 19:43:11.87	1	1	3	6	0
2016-04-26 19:43:11.90	2	1	3	5	0
2016-04-26 19:43:11.92	2	1	3	6	0
2016-04-26 19:43:27.98	1	1	3	5	0
2016-04-26 19:43:28.00	1	1	3	6	0
2016-04-26 19:43:28.01	2	1	3	5	0
2016-04-26 19:43:28.03	2	1	3	6	0
2016-04-26 19:44:19.43	2	1	3	5	96
2016-04-26 19:44:19.46	1	1	3	5	0
2016-04-26 19:44:19.96	1	1	3	5	1
2016-04-26 19:44:20.92	2	1	3	5	0
2016-04-26 19:44:22.45	1	1	3	5	1
2016-04-26 19:44:23.82	1	1	3	5	0
2016-04-26 19:44:47.12	1	1	3	5	0
2016-04-26 19:44:47.14	1	1	3	6	0
2016-04-26 19:44:47.15	2	1	3	5	0
2016-04-26 19:44:47.17	2	1	3	6	0
2016-04-26 19:45:40.70	1	1	3	5	0
2016-04-26 19:45:40.71	1	1	3	6	0
2016-04-26 19:45:40.73	2	1	3	5	0
2016-04-26 19:45:40.75	2	1	3	6	0
2016-04-26 19:54:42.93	1	1	3	5	0
2016-04-26 19:54:42.95	1	1	3	6	0
2016-04-26 19:54:42.96	2	1	3	5	0
2016-04-26 19:54:42.98	2	1	3	6	0
2016-04-26 19:56:30.89	2	1	3	5	96
2016-04-26 19:56:32.00	1	1	3	5	0
2016-04-26 19:56:32.39	2	1	3	5	0
2016-04-26 19:56:32.70	1	1	3	5	1
2016-04-26 19:56:35.00	1	1	3	5	1
2016-04-26 19:56:36.39	1	1	3	5	0
2016-04-26 19:56:47.04	1	1	3	5	0
2016-04-26 19:56:47.06	1	1	3	6	0
2016-04-26 19:56:47.06	2	1	3	5	0
2016-04-26 19:56:47.09	2	1	3	6	0
2016-04-26 19:56:54.90	1	1	3	5	0
2016-04-26 19:56:54.92	1	1	3	6	0
2016-04-26 19:56:54.93	2	1	3	5	0
2016-04-26 19:56:54.95	2	1	3	6	0
2016-04-26 20:02:11.35	1	1	3	5	0
2016-04-26 20:02:11.37	1	1	3	6	0
2016-04-26 20:02:11.39	2	1	3	5	0
2016-04-26 20:02:11.40	2	1	3	6	0
2016-04-26 20:04:31.60	2	1	3	5	96
2016-04-26 20:04:31.95	1	1	3	5	0
2016-04-26 20:04:33.09	2	1	3	5	0
2016-04-26 20:04:33.34	1	1	3	5	1
2016-04-26 20:04:34.96	1	1	3	5	1
2016-04-26 20:04:36.34	1	1	3	5	0
2016-04-26 20:04:42.09	1	1	3	5	0
2016-04-26 20:04:42.10	1	1	3	6	0
2016-04-26 20:04:42.10	2	1	3	5	0
2016-04-26 20:04:42.12	2	1	3	6	0
2016-04-26 20:04:56.73	1	1	3	5	0
2016-04-26 20:04:56.75	1	1	3	6	0
2016-04-26 20:04:56.76	2	1	3	5	0
2016-04-26 20:04:56.78	2	1	3	6	0
2016-04-26 20:05:04.59	1	1	3	5	0
2016-04-26 20:05:04.60	1	1	3	6	0
2016-04-26 20:05:04.60	2	1	3	5	0
2016-04-26 20:05:04.64	2	1	3	6	0
2016-04-26 20:05:48.78	2	1	3	5	96
2016-04-26 20:05:49.46	1	1	3	5	0
2016-04-26 20:05:50.26	2	1	3	5	0
2016-04-26 20:05:50.85	1	1	3	5	1
2016-04-26 20:05:52.46	1	1	3	5	1
2016-04-26 20:05:55.96	1	1	3	5	0
2016-04-26 20:06:07.29	1	1	3	5	0
2016-04-26 20:06:07.31	1	1	3	6	0
2016-04-26 20:06:07.31	2	1	3	5	0
2016-04-26 20:06:07.34	2	1	3	6	0
2016-04-26 20:06:20.35	1	1	3	5	0
2016-04-26 20:06:20.37	1	1	3	6	0
2016-04-26 20:06:20.39	2	1	3	5	0
2016-04-26 20:06:20.40	2	1	3	6	0
2016-04-26 20:06:26.29	1	1	3	5	0
2016-04-26 20:06:26.31	1	1	3	6	0
2016-04-26 20:06:26.32	2	1	3	5	0
2016-04-26 20:06:26.34	2	1	3	6	0
2016-04-26 20:11:39.93	2	1	3	5	96
2016-04-26 20:11:40.28	1	1	3	5	0
2016-04-26 20:11:41.43	2	1	3	5	0
2016-04-26 20:11:41.67	1	1	3	5	1
2016-04-26 20:11:43.28	1	1	3	5	1
2016-04-26 20:11:44.65	1	1	3	5	0
2016-04-26 20:11:50.15	1	1	3	5	0
2016-04-26 20:11:50.17	1	1	3	6	0
2016-04-26 20:11:50.18	2	1	3	5	0
2016-04-26 20:11:50.20	2	1	3	6	0
2016-04-26 20:12:02.73	1	1	3	5	0
2016-04-26 20:12:02.75	1	1	3	6	0
2016-04-26 20:12:02.76	2	1	3	5	0
2016-04-26 20:12:02.78	2	1	3	6	0
2016-04-26 20:12:08.70	1	1	3	5	0
2016-04-26 20:12:08.71	1	1	3	6	0
2016-04-26 20:12:08.73	2	1	3	5	0
2016-04-26 20:12:08.75	2	1	3	6	0
2016-04-26 20:12:15.71	1	1	3	5	0
2016-04-26 20:12:15.73	1	1	3	6	0
2016-04-26 20:12:15.75	2	1	3	5	0
2016-04-26 20:12:15.76	2	1	3	6	0
2016-04-26 20:12:50.35	1	1	3	5	0
2016-04-26 20:12:50.37	1	1	3	6	0
2016-04-26 20:12:50.39	2	1	3	5	0
2016-04-26 20:12:50.40	2	1	3	6	0
2016-04-26 20:13:02.90	1	1	3	5	0
2016-04-26 20:13:02.92	1	1	3	6	0
2016-04-26 20:13:02.92	2	1	3	5	0
2016-04-26 20:13:02.95	2	1	3	6	0
2016-04-26 20:13:18.65	1	1	3	5	0
2016-04-26 20:13:18.67	1	1	3	6	0
2016-04-26 20:13:18.68	2	1	3	5	0
2016-04-26 20:13:18.70	2	1	3	6	0
2016-04-26 20:13:26.34	1	1	3	5	0
2016-04-26 20:13:26.35	1	1	3	6	0
2016-04-26 20:13:26.37	2	1	3	5	0
2016-04-26 20:13:26.40	2	1	3	6	0
2016-04-26 20:14:00.46	1	1	3	5	0
2016-04-26 20:14:00.48	1	1	3	6	0
2016-04-26 20:14:00.48	2	1	3	5	0
2016-04-26 20:14:00.51	2	1	3	6	0
2016-04-26 20:14:05.68	1	1	3	5	0
2016-04-26 20:14:05.70	1	1	3	6	0
2016-04-26 20:14:05.71	2	1	3	5	0
2016-04-26 20:14:05.73	2	1	3	6	0
2016-04-26 20:14:08.23	2	1	3	5	96
2016-04-26 20:14:09.23	1	1	3	5	0
2016-04-26 20:14:09.25	1	1	3	6	0
2016-04-26 20:14:09.25	2	1	3	5	0
2016-04-26 20:14:09.28	2	1	3	6	0
2016-04-26 20:14:14.18	1	1	3	5	0
2016-04-26 20:14:14.20	1	1	3	6	0
2016-04-26 20:14:14.21	2	1	3	5	0
2016-04-26 20:14:14.23	2	1	3	6	0
2016-04-26 20:14:22.28	2	1	3	5	96
2016-04-26 20:14:22.78	1	1	3	5	0
2016-04-26 20:14:23.43	1	1	3	5	1
2016-04-26 20:14:23.79	2	1	3	5	0
2016-04-26 20:14:25.78	1	1	3	5	1
2016-04-26 20:14:27.17	1	1	3	5	0
2016-04-26 20:14:37.90	1	1	3	5	0
2016-04-26 20:14:37.92	1	1	3	6	0
2016-04-26 20:14:37.92	2	1	3	5	0
2016-04-26 20:14:37.95	2	1	3	6	0
2016-04-26 20:16:00.42	2	1	3	5	96
2016-04-26 20:16:00.93	1	1	3	5	0
2016-04-26 20:16:01.92	2	1	3	5	0
2016-04-26 20:16:02.10	1	1	3	5	1
2016-04-26 20:16:03.93	1	1	3	5	1
2016-04-26 20:16:07.43	1	1	3	5	0
2016-04-26 20:16:10.59	1	1	3	5	0
2016-04-26 20:16:10.60	1	1	3	6	0
2016-04-26 20:16:10.60	2	1	3	5	0
2016-04-26 20:16:10.64	2	1	3	6	0
2016-04-26 20:16:14.53	2	1	3	5	96
2016-04-26 20:16:15.35	1	1	3	5	0
2016-04-26 20:16:16.03	2	1	3	5	0
2016-04-26 20:16:16.76	1	1	3	5	1
2016-04-26 20:16:18.34	1	1	3	5	1
2016-04-26 20:16:19.73	1	1	3	5	0
2016-04-26 20:16:33.46	1	1	3	5	0
2016-04-26 20:16:33.48	1	1	3	6	0
2016-04-26 20:16:33.50	2	1	3	5	0
2016-04-26 20:16:33.51	2	1	3	6	0
2016-04-26 20:18:34.79	2	1	3	5	96
2016-04-26 20:18:35.18	1	1	3	5	0
2016-04-26 20:18:35.39	1	1	3	5	1
2016-04-26 20:18:36.29	2	1	3	5	0
2016-04-26 20:18:38.18	1	1	3	5	1
2016-04-26 20:18:41.68	1	1	3	5	0
2016-04-26 20:18:46.68	1	1	3	5	0
2016-04-26 20:18:46.70	1	1	3	6	0
2016-04-26 20:18:46.71	2	1	3	5	0
2016-04-26 20:18:46.73	2	1	3	6	0
2016-04-26 20:18:48.40	2	1	3	5	96
2016-04-26 20:18:48.45	1	1	3	5	0
2016-04-26 20:18:49.82	1	1	3	5	1
2016-04-26 20:18:49.92	2	1	3	5	0
2016-04-26 20:18:51.45	1	1	3	5	1
2016-04-26 20:18:54.95	1	1	3	5	0
2016-04-26 20:18:58.89	1	1	3	5	0
2016-04-26 20:18:58.90	1	1	3	6	0
2016-04-26 20:18:58.92	2	1	3	5	0
2016-04-26 20:18:58.93	2	1	3	6	0
2016-04-26 20:19:25.79	2	1	3	5	96
2016-04-26 20:19:26.28	1	1	3	5	0
2016-04-26 20:19:27.29	2	1	3	5	0
2016-04-26 20:19:27.65	1	1	3	5	1
2016-04-26 20:19:29.26	1	1	3	5	1
2016-04-26 20:19:32.76	1	1	3	5	0
2016-04-26 20:19:39.35	1	1	3	5	0
2016-04-26 20:19:39.37	1	1	3	6	0
2016-04-26 20:19:39.37	2	1	3	5	0
2016-04-26 20:19:39.40	2	1	3	6	0
2016-04-26 20:20:23.42	2	1	3	5	96
2016-04-26 20:20:23.98	1	1	3	5	0
2016-04-26 20:20:24.56	1	1	3	5	1
2016-04-26 20:20:24.92	2	1	3	5	0
2016-04-26 20:20:26.98	1	1	3	5	1
2016-04-26 20:20:30.48	1	1	3	5	0
2016-04-26 20:20:49.01	1	1	3	5	0
2016-04-26 20:20:49.03	1	1	3	6	0
2016-04-26 20:20:49.04	2	1	3	5	0
2016-04-26 20:20:49.06	2	1	3	6	0
2016-04-26 20:22:54.28	2	1	3	5	96
2016-04-26 20:22:55.01	1	1	3	5	0
2016-04-26 20:22:55.71	1	1	3	5	1
2016-04-26 20:22:55.79	2	1	3	5	0
2016-04-26 20:22:58.01	1	1	3	5	1
2016-04-26 20:22:59.39	1	1	3	5	0
2016-04-26 20:23:03.87	1	1	3	5	0
2016-04-26 20:23:03.90	1	1	3	6	0
2016-04-26 20:23:03.92	2	1	3	5	0
2016-04-26 20:23:03.93	2	1	3	6	0
2016-04-26 20:23:10.81	1	1	3	5	0
2016-04-26 20:23:10.82	1	1	3	6	0
2016-04-26 20:23:10.84	2	1	3	5	0
2016-04-26 20:23:10.85	2	1	3	6	0
2016-04-26 20:23:42.78	2	1	3	5	96
2016-04-26 20:23:43.82	1	1	3	5	0
2016-04-26 20:23:44.29	2	1	3	5	0
2016-04-26 20:23:45.21	1	1	3	5	1
2016-04-26 20:23:46.82	1	1	3	5	1
2016-04-26 20:23:48.20	1	1	3	5	0
2016-04-26 20:23:50.07	1	1	3	5	0
2016-04-26 20:23:50.09	1	1	3	6	0
2016-04-26 20:23:50.09	2	1	3	5	0
2016-04-26 20:23:50.12	2	1	3	6	0
2016-04-26 20:23:51.64	2	1	3	5	96
2016-04-26 20:23:52.23	1	1	3	5	0
2016-04-26 20:23:53.14	2	1	3	5	0
