DateTime	LogCategory	LogType	Cage	Corner	Side	LogNotes
2016-04-26 18:20:56.10	Info	Application				Session is started
2016-04-26 18:23:05.84	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-26 18:23:08.87	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-26 20:45:33.67	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-26 20:57:23.28	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-26 21:01:16.45	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-26 22:25:39.04	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-26 22:32:57.17	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-26 22:53:25.21	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-26 23:11:37.76	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-26 23:35:07.81	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-26 23:40:42.48	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-26 23:55:22.57	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-26 23:59:59.75	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-27 01:28:23.48	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-27 02:04:32.43	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-27 04:18:11.56	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-27 06:38:04.89	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-27 06:38:06.25	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-27 07:22:31.04	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-27 07:34:17.90	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-27 07:34:18.75	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-27 07:34:53.65	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-27 08:09:36.34	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-27 09:13:18.73	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-27 09:23:03.51	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-27 22:07:30.39	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-28 00:08:10.03	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-28 07:20:52.01	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-28 07:28:03.93	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-28 07:37:59.17	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-28 08:03:45.59	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-28 10:18:17.93	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-28 19:37:41.45	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-28 20:06:30.03	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-28 20:37:32.57	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-28 21:01:08.73	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-28 21:02:22.20	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-28 22:11:11.39	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-28 22:12:31.68	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-28 22:12:31.84	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-28 22:26:18.90	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-28 22:37:56.01	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-28 22:43:10.85	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-28 22:43:29.75	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-28 22:54:43.68	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-28 23:16:31.67	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-28 23:38:53.78	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-28 23:54:43.03	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-28 23:55:17.90	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-29 00:41:20.78	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-29 01:56:14.32	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-29 02:08:49.29	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-29 08:38:20.18	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-29 09:01:35.54	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-29 10:39:13.82	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-29 19:06:36.76	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-29 19:33:16.76	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-29 19:33:58.68	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-29 19:40:05.45	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-29 21:03:53.53	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-29 21:38:06.20	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-29 21:38:06.51	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-29 21:43:48.42	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-29 22:24:57.40	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-29 22:47:27.76	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-29 22:48:26.81	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-29 22:58:30.82	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-29 23:20:46.95	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-29 23:39:10.21	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-29 23:41:35.07	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-29 23:44:17.03	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-29 23:50:01.28	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-29 23:51:27.35	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-30 00:49:45.14	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-30 02:57:52.59	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-30 03:20:13.46	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-30 07:32:50.10	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-30 07:38:29.59	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-30 10:13:00.34	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-30 10:43:47.37	Info	Application				Session is stopped
