SequenceSessionId	Tag	VisitId	Start	End	Address	Output	PackageName
0	98102108806	0	2016-05-23 18:31:55.84	2016-05-23 18:31:56.84	1	3	Wrong Time
1	98102108806	1	2016-05-23 18:32:20.01	2016-05-23 18:32:21.03	1	3	Wrong Time
2	98102108806	1	2016-05-23 18:32:22.71	2016-05-23 18:32:23.45	1	3	Wrong Time
3	98102108806	1	2016-05-23 18:32:23.45	2016-05-23 18:32:24.45	1	3	Wrong Time
4	98102108806	1	2016-05-23 18:32:24.46	2016-05-23 18:32:25.46	1	3	Wrong Time
5	98102254571	2	2016-05-23 18:32:42.18	2016-05-23 18:32:43.18	1	3	Wrong Time
6	98102254571	2	2016-05-23 18:32:48.54	2016-05-23 18:32:49.54	1	3	Wrong Time
7	98102254571	2	2016-05-23 18:32:51.23	2016-05-23 18:32:52.23	1	3	Wrong Time
8	98102108806	5	2016-05-23 18:37:55.26	2016-05-23 18:37:56.26	1	3	Wrong Time
9	98102056406	6	2016-05-23 18:38:00.03	2016-05-23 18:38:01.04	1	3	Wrong Time
10	98102056406	6	2016-05-23 18:38:09.56	2016-05-23 18:38:10.56	1	3	Wrong Time
11	98102254571	7	2016-05-23 18:40:58.18	2016-05-23 18:40:59.18	1	3	Wrong Time
12	98102109088	11	2016-05-23 18:41:38.59	2016-05-23 18:41:39.60	1	3	Wrong Time
13	98102056406	12	2016-05-23 18:42:06.20	2016-05-23 18:42:07.20	1	3	Wrong Time
14	98102109088	14	2016-05-23 19:35:30.21	2016-05-23 19:35:33.71	1	3	scrambled bjork
15	98102109088	16	2016-05-23 19:36:10.67	2016-05-23 19:36:14.17	1	3	scrambled bjork
16	98102109088	18	2016-05-23 19:37:07.01	2016-05-23 19:37:08.01	1	3	scrambled bjork
17	98102109088	20	2016-05-23 19:37:51.73	2016-05-23 19:37:52.73	1	3	scrambled bjork
18	98102056406	26	2016-05-23 19:39:38.57	2016-05-23 19:39:42.07	1	3	scrambled bjork
19	98102056406	28	2016-05-23 19:41:34.23	2016-05-23 19:41:35.23	1	3	scrambled bjork
20	98102108806	29	2016-05-23 19:41:53.60	2016-05-23 19:41:57.10	1	3	scrambled bjork
21	98102056406	32	2016-05-23 19:43:07.59	2016-05-23 19:43:11.09	1	3	scrambled bjork
22	98102108473	33	2016-05-23 19:43:44.56	2016-05-23 19:43:48.06	1	3	scrambled bjork
23	98102056406	35	2016-05-23 19:44:15.96	2016-05-23 19:44:16.96	1	3	scrambled bjork
