DateTime	LogCategory	LogType	Cage	Corner	Side	LogNotes
2016-05-05 10:40:36.51	Info	Application				Session is started
2016-05-05 11:01:59.93	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-05 22:03:11.43	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-05 23:42:33.14	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-05 23:44:00.53	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-06 00:15:49.46	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-06 00:35:37.26	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-06 00:51:09.20	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-06 00:51:10.59	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-06 03:16:14.32	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-06 03:50:03.43	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-06 05:44:31.81	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-06 08:18:00.26	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-06 12:23:51.20	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-06 19:02:12.48	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-07 04:39:44.75	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-07 05:38:05.04	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-07 07:14:11.17	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-07 07:47:26.26	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-07 10:57:06.82	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-07 16:06:58.62	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-07 17:22:01.68	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-07 17:37:08.82	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-07 22:30:34.25	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-08 00:39:08.17	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-08 01:13:06.15	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-08 01:23:07.51	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-08 08:09:32.15	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-08 09:52:03.73	Info	Application				Session is stopped
