DateTime	LogCategory	LogType	Cage	Corner	Side	LogNotes
2016-05-17 10:57:04.85	Info	Application				Session is started
2016-05-17 22:36:52.15	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-17 22:36:52.81	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-18 01:24:46.28	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-18 01:24:47.01	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-18 03:19:01.14	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-19 00:09:48.03	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-19 02:04:54.32	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-19 02:38:17.46	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-19 06:34:13.07	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-19 11:38:26.50	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-19 12:09:06.87	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-19 12:09:07.96	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-19 15:55:41.71	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-19 23:18:30.98	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-05-20 00:24:17.53	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-20 01:26:24.21	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-20 05:56:35.96	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-20 19:47:38.79	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-21 01:54:31.45	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-21 07:03:42.92	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-22 01:00:38.70	Warning	Presence	1	3		Presence signal without antenna registration.
2016-05-22 11:14:23.79	Info	Application				Session is stopped
