VisitID	AnimalTag	Start	End	ModuleName	Cage	Corner	CornerCondition	PlaceError	AntennaNumber	AntennaDuration	PresenceNumber	PresenceDuration	VisitSolution
0	98102108982	2016-05-17 10:58:04.81	2016-05-17 10:58:08.06	Default	1	3	1	0	1	3.8125	1	1.328125	0
1	98102254571	2016-05-17 10:58:25.39	2016-05-17 10:58:33.07	Default	1	3	1	0	1	7.6875	1	7.78125	0
2	98102108473	2016-05-17 10:59:21.65	2016-05-17 10:59:31.92	Default	1	3	1	0	1	10.265625	1	9.796875	0
3	98102108806	2016-05-17 11:03:37.87	2016-05-17 11:03:40.87	Default	1	3	1	0	1	3.1875	1	1.265625	0
4	98102109088	2016-05-17 12:27:14.34	2016-05-17 12:27:18.01	Default	1	3	1	0	1	3.71875	1	2.765625	0
5	98102108806	2016-05-17 13:41:46.46	2016-05-17 13:41:49.76	Default	1	3	1	0	1	3.59375	1	2.21875	0
6	98102056406	2016-05-17 14:02:30.81	2016-05-17 14:02:51.43	Default	1	3	1	0	1	20.84375	1	19.671875	0
7	98102108982	2016-05-17 14:05:15.79	2016-05-17 14:05:21.51	Default	1	3	1	0	1	6.859375	1	4.703125	0
8	98102254571	2016-05-17 16:19:42.23	2016-05-17 16:19:50.89	Default	1	3	1	0	1	8.65625	1	8.078125	0
9	98102056406	2016-05-17 16:32:29.95	2016-05-17 16:32:45.32	Default	1	3	1	0	1	15.4375	1	14.46875	0
10	98102056406	2016-05-17 16:46:40.43	2016-05-17 16:46:47.56	Default	1	3	1	0	1	7.1875	1	6.171875	0
11	98102056406	2016-05-17 16:53:50.82	2016-05-17 16:54:31.56	Default	1	3	1	0	2	40.328125	1	39.84375	0
12	98102056406	2016-05-17 16:54:56.06	2016-05-17 16:55:13.79	Default	1	3	1	0	1	18.234375	2	16.5	0
13	98102056406	2016-05-17 16:55:15.65	2016-05-17 16:56:29.09	Default	1	3	1	0	2	73.34375	4	71.421875	0
14	98102056406	2016-05-17 16:56:33.92	2016-05-17 16:56:52.70	Default	1	3	1	0	2	19.59375	1	18.34375	0
15	98102056406	2016-05-17 16:57:02.35	2016-05-17 17:00:10.87	Default	1	3	1	0	10	184.5	2	187.8125	0
16	98102056406	2016-05-17 17:00:21.43	2016-05-17 17:00:35.03	Default	1	3	1	0	2	13.1875	1	13.453125	0
