DateTime	Temperature	Illumination	Cage
2016-04-19 14:30:30	22.6	0	1
2016-04-19 14:31:29	22.6	0	1
2016-04-19 14:32:29	22.6	0	1
2016-04-19 14:33:29	22.6	0	1
2016-04-19 14:34:29	22.6	0	1
2016-04-19 14:35:29	22.6	0	1
2016-04-19 14:36:29	22.6	0	1
2016-04-19 14:37:29	22.6	0	1
2016-04-19 14:38:29	22.6	0	1
2016-04-19 14:39:29	22.6	0	1
2016-04-19 14:40:29	22.6	0	1
2016-04-19 14:41:29	22	0	1
2016-04-19 14:42:29	22.6	0	1
2016-04-19 14:43:29	22.6	0	1
2016-04-19 14:44:29	22.6	0	1
2016-04-19 14:45:29	22.6	0	1
2016-04-19 14:46:29	22.6	0	1
2016-04-19 14:47:29	22.6	0	1
2016-04-19 14:48:29	22.6	0	1
2016-04-19 14:49:29	22.6	0	1
2016-04-19 14:50:29	22.6	0	1
2016-04-19 14:51:29	22.6	0	1
2016-04-19 14:52:29	22	0	1
2016-04-19 14:53:29	22.6	0	1
2016-04-19 14:54:29	22.6	0	1
2016-04-19 14:55:29	22.6	0	1
2016-04-19 14:56:29	22.6	0	1
2016-04-19 14:57:29	22.6	0	1
2016-04-19 14:58:29	22.6	0	1
2016-04-19 14:59:29	22.6	0	1
2016-04-19 15:00:29	22.6	0	1
2016-04-19 15:01:29	22.6	0	1
2016-04-19 15:02:29	22.6	0	1
2016-04-19 15:03:29	22.6	0	1
2016-04-19 15:04:29	22.6	0	1
2016-04-19 15:05:29	22.6	0	1
2016-04-19 15:06:29	22.6	0	1
2016-04-19 15:07:29	22.6	0	1
2016-04-19 15:08:29	22.6	0	1
2016-04-19 15:09:29	22.6	0	1
2016-04-19 15:10:29	22.6	0	1
2016-04-19 15:11:29	22.6	0	1
2016-04-19 15:12:29	22.6	0	1
2016-04-19 15:13:29	22.6	0	1
2016-04-19 15:14:29	22.6	0	1
2016-04-19 15:15:29	22.6	0	1
2016-04-19 15:16:29	22.6	0	1
2016-04-19 15:17:29	22.6	0	1
2016-04-19 15:18:29	22.6	0	1
2016-04-19 15:19:29	22.6	0	1
2016-04-19 15:20:29	22.6	0	1
2016-04-19 15:21:29	22.6	0	1
2016-04-19 15:22:29	22.6	0	1
2016-04-19 15:23:29	22.6	0	1
2016-04-19 15:24:29	22.6	0	1
2016-04-19 15:25:29	22.6	0	1
2016-04-19 15:26:29	22.6	0	1
2016-04-19 15:27:29	22.6	0	1
2016-04-19 15:28:29	22.6	0	1
2016-04-19 15:29:29	22.6	0	1
2016-04-19 15:30:29	22.6	0	1
2016-04-19 15:31:29	22.6	0	1
2016-04-19 15:32:29	22.6	0	1
2016-04-19 15:33:29	22.6	0	1
2016-04-19 15:34:29	22.6	0	1
2016-04-19 15:35:29	22.6	0	1
2016-04-19 15:36:29	22.6	0	1
2016-04-19 15:37:29	22.6	0	1
2016-04-19 15:38:29	22.6	0	1
2016-04-19 15:39:29	22.6	0	1
2016-04-19 15:40:29	22.6	0	1
2016-04-19 15:41:29	22.6	0	1
2016-04-19 15:42:29	22.6	0	1
2016-04-19 15:43:29	22.6	0	1
2016-04-19 15:44:29	22.6	0	1
2016-04-19 15:45:29	22.6	0	1
2016-04-19 15:46:29	22.6	0	1
2016-04-19 15:47:29	22.6	0	1
2016-04-19 15:48:29	22.6	0	1
2016-04-19 15:49:29	22.6	0	1
2016-04-19 15:50:29	22.6	0	1
2016-04-19 15:51:29	22.6	0	1
2016-04-19 15:52:29	22.6	0	1
2016-04-19 15:53:29	22.6	0	1
2016-04-19 15:54:29	22.6	0	1
2016-04-19 15:55:29	22.6	0	1
2016-04-19 15:56:29	22.6	0	1
2016-04-19 15:57:29	22.6	0	1
2016-04-19 15:58:29	22.6	0	1
2016-04-19 15:59:29	22.6	0	1
2016-04-19 16:00:29	22.6	0	1
2016-04-19 16:01:29	22.6	0	1
2016-04-19 16:02:29	22.6	0	1
2016-04-19 16:03:29	22.6	0	1
2016-04-19 16:04:29	22.6	0	1
2016-04-19 16:05:29	22.6	0	1
2016-04-19 16:06:29	22.6	0	1
2016-04-19 16:07:29	22.6	0	1
2016-04-19 16:08:29	22.6	0	1
2016-04-19 16:09:29	22.6	0	1
2016-04-19 16:10:29	22.6	0	1
2016-04-19 16:11:29	22.6	0	1
2016-04-19 16:12:29	22.6	0	1
2016-04-19 16:13:29	22.6	0	1
2016-04-19 16:14:29	22.6	0	1
2016-04-19 16:15:29	22.6	0	1
2016-04-19 16:16:29	22.6	0	1
2016-04-19 16:17:29	22.6	0	1
2016-04-19 16:18:29	22.6	0	1
2016-04-19 16:19:29	22.6	0	1
2016-04-19 16:20:29	22.6	0	1
2016-04-19 16:21:29	22.6	0	1
2016-04-19 16:22:29	22.6	0	1
2016-04-19 16:23:29	22.6	0	1
2016-04-19 16:24:29	22.6	0	1
2016-04-19 16:25:29	22.6	0	1
2016-04-19 16:26:29	22.6	0	1
2016-04-19 16:27:29	22.6	0	1
2016-04-19 16:28:29	22.6	0	1
2016-04-19 16:29:29	22.6	0	1
2016-04-19 16:30:29	22.6	0	1
2016-04-19 16:31:29	22.6	0	1
2016-04-19 16:32:29	22.6	0	1
2016-04-19 16:33:29	22.6	0	1
2016-04-19 16:34:29	22.6	0	1
