SequenceSessionId	Tag	VisitId	Start	End	Address	Output	PackageName
0	98102109088	1	2016-06-05 10:41:56.62	2016-06-05 10:41:57.62	1	3	Wrong Time
1	98102109088	1	2016-06-05 10:42:01.45	2016-06-05 10:42:02.45	1	3	Wrong Time
2	98102109088	1	2016-06-05 10:42:03.43	2016-06-05 10:42:04.37	1	3	Wrong Time
3	98102109088	1	2016-06-05 10:42:04.37	2016-06-05 10:42:04.51	1	3	Wrong Time
4	98102109088	1	2016-06-05 10:42:04.51	2016-06-05 10:42:05.51	1	3	Wrong Time
5	98102109088	1	2016-06-05 10:42:09.06	2016-06-05 10:42:09.81	1	3	Wrong Time
6	98102109088	1	2016-06-05 10:42:09.81	2016-06-05 10:42:10.67	1	3	Wrong Time
7	98102109088	1	2016-06-05 10:42:10.67	2016-06-05 10:42:11.67	1	3	Wrong Time
8	98102109088	1	2016-06-05 10:42:19.57	2016-06-05 10:42:20.57	1	3	Wrong Time
9	98102056406	3	2016-06-05 10:43:12.87	2016-06-05 10:43:13.87	1	3	Wrong Time
10	98102056406	4	2016-06-05 10:44:35.93	2016-06-05 10:44:36.95	1	3	Wrong Time
11	98102109088	11	2016-06-05 13:23:31.45	2016-06-05 13:23:32.45	1	3	Wrong Time
12	98102109088	11	2016-06-05 13:23:33.46	2016-06-05 13:23:33.85	1	3	Wrong Time
13	98102109088	11	2016-06-05 13:23:33.85	2016-06-05 13:23:34.85	1	3	Wrong Time
14	98102108473	14	2016-06-05 13:47:41.54	2016-06-05 13:47:42.54	1	3	Wrong Time
15	98102108473	14	2016-06-05 13:47:44.10	2016-06-05 13:47:45.12	1	3	Wrong Time
16	98102108473	14	2016-06-05 13:47:45.89	2016-06-05 13:47:46.89	1	3	Wrong Time
17	98102056406	15	2016-06-05 14:09:47.29	2016-06-05 14:09:47.68	1	3	Wrong Time
18	98102056406	15	2016-06-05 14:09:47.68	2016-06-05 14:09:48.68	1	3	Wrong Time
19	98102108473	17	2016-06-05 14:13:32.28	2016-06-05 14:13:33.28	1	3	Wrong Time
20	98102056406	18	2016-06-05 14:14:59.03	2016-06-05 14:15:00.03	1	3	Wrong Time
21	98102108473	19	2016-06-05 14:15:35.68	2016-06-05 14:15:36.68	1	3	Wrong Time
22	98102056406	20	2016-06-05 14:15:47.14	2016-06-05 14:15:48.14	1	3	Wrong Time
23	98102056406	20	2016-06-05 14:15:48.32	2016-06-05 14:15:49.34	1	3	Wrong Time
24	98102056406	22	2016-06-05 14:16:36.54	2016-06-05 14:16:37.54	1	3	Wrong Time
25	98102056406	22	2016-06-05 14:16:48.89	2016-06-05 14:16:49.28	1	3	Wrong Time
26	98102056406	22	2016-06-05 14:16:49.28	2016-06-05 14:16:50.28	1	3	Wrong Time
27	98102056406	23	2016-06-05 14:17:48.01	2016-06-05 14:17:49.01	1	3	Wrong Time
28	98102109088	24	2016-06-05 14:18:32.73	2016-06-05 14:18:33.73	1	3	Wrong Time
29	98102109088	24	2016-06-05 14:18:34.92	2016-06-05 14:18:35.92	1	3	Wrong Time
30	98102056406	25	2016-06-05 14:18:59.62	2016-06-05 14:19:00.43	1	3	Wrong Time
31	98102056406	25	2016-06-05 14:19:00.43	2016-06-05 14:19:01.45	1	3	Wrong Time
32	98102056406	26	2016-06-05 14:19:53.26	2016-06-05 14:19:54.26	1	3	Wrong Time
33	98102056406	26	2016-06-05 14:20:18.71	2016-06-05 14:20:19.71	1	3	Wrong Time
34	98102109088	27	2016-06-05 14:20:36.20	2016-06-05 14:20:37.20	1	3	Wrong Time
35	98102109088	27	2016-06-05 14:20:52.50	2016-06-05 14:20:53.50	1	3	Wrong Time
36	98102109088	28	2016-06-05 14:21:02.06	2016-06-05 14:21:02.75	1	3	Wrong Time
37	98102109088	28	2016-06-05 14:21:02.75	2016-06-05 14:21:03.56	1	3	Wrong Time
38	98102109088	28	2016-06-05 14:21:03.56	2016-06-05 14:21:04.56	1	3	Wrong Time
39	98102109088	28	2016-06-05 14:21:05.17	2016-06-05 14:21:06.18	1	3	Wrong Time
40	98102109088	28	2016-06-05 14:21:13.37	2016-06-05 14:21:14.26	1	3	Wrong Time
41	98102109088	28	2016-06-05 14:21:14.26	2016-06-05 14:21:15.26	1	3	Wrong Time
42	98102109088	28	2016-06-05 14:21:17.12	2016-06-05 14:21:17.50	1	3	Wrong Time
43	98102109088	28	2016-06-05 14:21:17.50	2016-06-05 14:21:18.50	1	3	Wrong Time
44	98102109088	28	2016-06-05 14:21:19.03	2016-06-05 14:21:19.59	1	3	Wrong Time
45	98102109088	28	2016-06-05 14:21:19.59	2016-06-05 14:21:20.59	1	3	Wrong Time
