VisitID	AnimalTag	Start	End	ModuleName	Cage	Corner	CornerCondition	PlaceError	AntennaNumber	AntennaDuration	PresenceNumber	PresenceDuration	VisitSolution
0	98102108806	2016-04-30 10:53:38.20	2016-04-30 10:54:04.42	Default	1	3	1	0	1	26.296875	0	0	3
1	98102108982	2016-04-30 10:54:04.42	2016-04-30 10:54:57.76	Default	1	3	1	0	7	51.53125	0	0	3
2	98102108806	2016-04-30 10:54:57.76	2016-04-30 10:54:58.53	Default	1	3	1	0	1	0.765625	0	0	3
3	98102108982	2016-04-30 10:54:58.53	2016-04-30 10:55:11.28	Default	1	3	1	0	2	11.546875	0	0	3
4	98102108806	2016-04-30 10:55:11.28	2016-04-30 10:55:12.85	Default	1	3	1	0	1	1.015625	0	0	3
5	98102108982	2016-04-30 10:55:12.85	2016-04-30 10:55:14.04	Default	1	3	1	0	1	1.1875	0	0	3
6	98102108806	2016-04-30 10:55:14.04	2016-04-30 10:55:15.32	Default	1	3	1	0	1	1.28125	0	0	3
7	98102108982	2016-04-30 10:55:15.32	2016-04-30 10:55:17.26	Default	1	3	1	0	1	1.9375	0	0	3
8	98102109088	2016-04-30 10:55:17.26	2016-04-30 10:55:23.12	Default	1	3	1	0	1	5.859375	0	0	3
9	98102108982	2016-04-30 10:55:23.12	2016-04-30 10:55:26.92	Default	1	3	1	0	1	3.796875	0	0	3
10	98102109088	2016-04-30 10:55:26.92	2016-04-30 10:55:50.56	Default	1	3	1	0	1	23.640625	0	0	3
11	98102108806	2016-04-30 10:55:50.56	2016-04-30 10:56:27.40	Default	1	3	1	0	2	34.75	0	0	3
12	98102108982	2016-04-30 10:56:27.40	2016-04-30 10:57:18.81	Default	1	3	1	0	2	47.390625	0	0	3
13	98102254571	2016-04-30 10:57:18.81	2016-04-30 10:57:44.59	Default	1	3	1	0	2	24.5625	0	0	3
14	98102056406	2016-04-30 10:57:44.59	2016-04-30 10:58:29.26	Default	1	3	1	0	2	43.328125	0	0	3
