DateTime	LogCategory	LogType	Cage	Corner	Side	LogNotes
2016-04-21 16:28:13.17	Info	Application				Session is started
2016-04-21 19:32:13.39	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-21 19:36:08.51	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-21 19:37:36.70	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-21 19:48:41.09	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-21 19:51:00.81	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-21 20:04:50.09	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-21 21:58:31.34	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-21 23:30:54.01	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-21 23:41:48.01	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-22 00:55:50.53	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-22 01:58:57.59	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-22 02:15:31.67	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-22 02:20:26.93	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-22 09:30:19.75	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-22 10:11:19.39	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-22 19:35:24.28	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-22 19:52:54.51	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-22 19:59:51.85	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-22 20:05:55.23	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-22 20:12:55.87	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-22 21:31:53.98	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-22 21:37:41.10	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-22 22:05:23.20	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-22 22:07:29.17	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-22 23:45:06.73	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-23 00:46:26.15	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-23 14:30:33.01	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-23 18:15:21.25	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-23 19:52:26.31	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-23 20:17:27.71	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-23 21:04:30.42	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-23 21:57:07.23	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-23 22:33:28.31	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-23 23:00:43.84	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2016-04-24 07:35:36.46	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-24 07:43:13.51	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-24 12:15:00.18	Info	Application				Session is stopped
